unesco_id,site_name,country,region,year_inscribed,category,latitude,longitude,is_endangered,is_transnational,iso_code,unesco_url,brief_description,ouv_statement,date_fetched,date_of_inscription,criteria,property_size,buffer_zone_size,dossier,confidence,score,stone_count,stone_types_found,stone_geological_class,named_trade_stones,decorative_minerals_found,building_materials_found,construction_terms_found,architectural_elements_found,architecture_style_found,construction_verbs_found,matched_categories,matched_name_keywords
1765,Jingdezhen Handicraft Porcelain Industry Sites,China,,2026,Cultural,,,0,0,cn,https://whc.unesco.org/en/list/1765,"Jingdezhen Handicraft Porcelain Industry Sites
The serial property portrays the evolution of the production of handicraft porcelain from the 10th to 19th centuries that had profound industrial, artistic and trading influences in China and beyond globally. The five component parts reflect the processes of the production of porcelain, including the extraction and transportation of raw materials, innovations in kiln design and the spatial and social organisation of production on an immense scale. The town area featured the Imperial Kiln alongside civilian kilns, guilds and merchant associations. Jingdezhen was a centre of technological innovation in porcelain production, including the “binary formula” of mixing kaolin and porcelain stone. Porcelain of the highest quality was produced at Jingdezhen, and its blue-and-white porcelain and designs became a prized global commodity and a symbol of Chinese culture and artistry.
Description is available under license
CC-BY-SA IGO 3.0","Jingdezhen Handicraft Porcelain Industry Sites
The serial property portrays the evolution of the production of handicraft porcelain from the 10th to 19th centuries that had profound industrial, artistic and trading influences in China and beyond globally. The five component parts reflect the processes of the production of porcelain, including the extraction and transportation of raw materials, innovations in kiln design and the spatial and social organisation of production on an immense scale. The town area featured the Imperial Kiln alongside civilian kilns, guilds and merchant associations. Jingdezhen was a centre of technological innovation in porcelain production, including the “binary formula” of mixing kaolin and porcelain stone. Porcelain of the highest quality was produced at Jingdezhen, and its blue-and-white porcelain and designs became a prized global commodity and a symbol of Chinese culture and artistry.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(ii)(iii)(iv)(vi),,,,LOW,4,0,,,,,porcelain,,,design,,Criterion_iv; Criterion_ii,
1768,The Medinas of the Historic Sultanates of the Comoros,Comoros,,2026,Cultural,,,0,0,km,https://whc.unesco.org/en/list/1768,"The Medinas of the Historic Sultanates of the Comoros
The serial property is composed of six historic towns which developed from urban nuclei that emerged around at least the 11th century and evolved into city-states around the 14th-15th century. They eventually became the principal urban centres of the sultanates established on the islands of the archipelago of Comoros. With a common hierarchical system of social organisation, based on matrilineal and matrilocal customs, age-group systems, and patrilineal Islamic traditions still alive today, the property showcases insular urban forms and architectural expressions that resulted from cultural exchanges related to migration and Indian Ocean trade networks, embedded in the local social, geographical, and environmental context.
Description is available under license
CC-BY-SA IGO 3.0","The Medinas of the Historic Sultanates of the Comoros
The serial property is composed of six historic towns which developed from urban nuclei that emerged around at least the 11th century and evolved into city-states around the 14th-15th century. They eventually became the principal urban centres of the sultanates established on the islands of the archipelago of Comoros. With a common hierarchical system of social organisation, based on matrilineal and matrilocal customs, age-group systems, and patrilineal Islamic traditions still alive today, the property showcases insular urban forms and architectural expressions that resulted from cultural exchanges related to migration and Indian Ocean trade networks, embedded in the local social, geographical, and environmental context.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(iii)(iv),,,,MEDIUM,6,0,,,,,,,,architectural,,Criterion_iv; Name_Residential_Urban,medina
1752,Aalto Works,Finland,,2026,Cultural,,,0,0,fi,https://whc.unesco.org/en/list/1752,"Aalto Works
The property consists of thirteen modern buildings and ensembles across Finland (1928–1988) that exemplify the 20th‑century Modern Movement and its response to broad social needs. These civic, community, and residential structures—found in both urban and rural settings—are internationally associated with Alvar Aalto, yet they reflect the collaborative creativity of Aalto, Aino Marsio‑Aalto, Elissa Aalto, the Aalto studio, and their design partners. Rooted in Finnish building traditions while drawing on global modernist ideas, the works express a human‑centred, site‑specific, and empathetic vision that distinguishes Finland’s contribution to modern architecture.
Description is available under license
CC-BY-SA IGO 3.0","Aalto Works
The property consists of thirteen modern buildings and ensembles across Finland (1928–1988) that exemplify the 20th‑century Modern Movement and its response to broad social needs. These civic, community, and residential structures—found in both urban and rural settings—are internationally associated with Alvar Aalto, yet they reflect the collaborative creativity of Aalto, Aino Marsio‑Aalto, Elissa Aalto, the Aalto studio, and their design partners. Rooted in Finnish building traditions while drawing on global modernist ideas, the works express a human‑centred, site‑specific, and empathetic vision that distinguishes Finland’s contribution to modern architecture.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(ii),,,,LOW,3,0,,,,,,,,architecture; building; design; modern movement; modernist; structure,,Criterion_ii; OUV_ArchTerms,
1755,Royal Capetian Fortresses of Languedoc,France,,2026,Cultural,,,0,0,fr,https://whc.unesco.org/en/list/1755,"Royal Capetian Fortresses of Languedoc
The serial property comprises eight fortified sites – Castle and ramparts of Carcassonne and the fortresses of Aguilar, Lastours, Montségur, Peyrepertuse, Puilaurens, Quéribus, and Termes – representing a core part of the Capetian defensive system established in the 13th–14th centuries following the Albigensian Crusade. Built on rugged rocky ridges in strategically significant locations, these fortifications formed the backbone of the newly created seneschalty of Carcassonne, asserting the authority of the seneschal over the former territories of independent feudal lineages. Together, they illustrate the political, military and territorial consolidation of the Capetian Crown in Languedoc through ostentatious architecture adapted to dramatic topography.
Description is available under license
CC-BY-SA IGO 3.0","Royal Capetian Fortresses of Languedoc
The serial property comprises eight fortified sites – Castle and ramparts of Carcassonne and the fortresses of Aguilar, Lastours, Montségur, Peyrepertuse, Puilaurens, Quéribus, and Termes – representing a core part of the Capetian defensive system established in the 13th–14th centuries following the Albigensian Crusade. Built on rugged rocky ridges in strategically significant locations, these fortifications formed the backbone of the newly created seneschalty of Carcassonne, asserting the authority of the seneschal over the former territories of independent feudal lineages. Together, they illustrate the political, military and territorial consolidation of the Capetian Crown in Languedoc through ostentatious architecture adapted to dramatic topography.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(iv),,,,HIGH,11,0,,,,,,,castle; fortress,architecture,built; fortified,Criterion_iv; Name_Fortification; Name_Palatial; OUV_ConstructionVerbs,fortress; royal
1581,"Beaches of the D-Day Landings, Normandy, 1944",France,,2026,Cultural,,,0,0,fr,https://whc.unesco.org/en/list/1581,"Beaches of the D-Day Landings, Normandy, 1944
The serial property comprises six component parts along approximately 80 km of the Normandy coastline, encompassing Utah, Omaha, Gold, Juno, and Sword Beaches, as well as Pointe du Hoc. These sites are directly associated with the Allied landings of 6 June 1944, the opening phase of Operation Overlord, which marked the beginning of the liberation of Western Europe from Nazi occupation during the Second World War. The property preserves significant remains of the German Atlantic Wall, including casemates, artillery batteries, fire‑control posts, and resistance nests, alongside battlefield traces, original wartime equipment, and major commemorative landscapes such as the American Cemetery at Colleville‑sur‑Mer. Together, these elements form an exceptional cultural landscape shaped both by the events of 1944 and by their enduring remembrance.
Description is available under license
CC-BY-SA IGO 3.0","Beaches of the D-Day Landings, Normandy, 1944
The serial property comprises six component parts along approximately 80 km of the Normandy coastline, encompassing Utah, Omaha, Gold, Juno, and Sword Beaches, as well as Pointe du Hoc. These sites are directly associated with the Allied landings of 6 June 1944, the opening phase of Operation Overlord, which marked the beginning of the liberation of Western Europe from Nazi occupation during the Second World War. The property preserves significant remains of the German Atlantic Wall, including casemates, artillery batteries, fire‑control posts, and resistance nests, alongside battlefield traces, original wartime equipment, and major commemorative landscapes such as the American Cemetery at Colleville‑sur‑Mer. Together, these elements form an exceptional cultural landscape shaped both by the events of 1944 and by their enduring remembrance.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(vi),,,,NONE,0,0,,,,,gold,,wall,,,,
927,Ancient Buddhist Site of Sarnath,India,,2026,Cultural,,,0,0,in,https://whc.unesco.org/en/list/927,"Ancient Buddhist Site of Sarnath
The serial property contains the architectural and archaeological remains of Sarnath, the sacred site where the Buddha is believed to have delivered his first sermon in the 6th century BCE and met his earliest disciples. Identified by the Buddha himself as one of the four principal Buddhist pilgrimage sites, Sarnath grew over many centuries through royal, monastic, and lay patronage, resulting in the construction of numerous stupas, temples, and viharas. After flourishing as a major Buddhist centre, Sarnath declined in the 12th century CE and fell into obscurity until its rediscovery in the 18th century. Today preserved as two archaeological zones, it remains both an important tourist destination and a revived pilgrimage site for Buddhists worldwide.
Description is available under license
CC-BY-SA IGO 3.0","Ancient Buddhist Site of Sarnath
The serial property contains the architectural and archaeological remains of Sarnath, the sacred site where the Buddha is believed to have delivered his first sermon in the 6th century BCE and met his earliest disciples. Identified by the Buddha himself as one of the four principal Buddhist pilgrimage sites, Sarnath grew over many centuries through royal, monastic, and lay patronage, resulting in the construction of numerous stupas, temples, and viharas. After flourishing as a major Buddhist centre, Sarnath declined in the 12th century CE and fell into obscurity until its rediscovery in the 18th century. Today preserved as two archaeological zones, it remains both an important tourist destination and a revived pilgrimage site for Buddhists worldwide.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(iii)(vi),,,,LOW,2,0,,,,,,,stupa; temple,architectural; construction,,OUV_ArchTerms,
1770,Alamūt Castle and Related Fortifications,Iran (Islamic Republic of),,2026,Cultural,,,0,0,ir,https://whc.unesco.org/en/list/1770,"Alamūt Castle and Related Fortifications
The serial property comprises of Alamūt Castle and six associated fortifications—Lambesar, Navizaršāh, Šams Kelāyeh, Qosṭinlār, Širkūh, and Ilān—strategically positioned within the rugged landscape of the Alborz Mountains in Qazvin Province, northern Iran. From the late 11th century CE, Alamūt served as the political, military, and intellectual centre of the Nezāri Ismaʿilis, an influential Islamic movement whose reach extended across Iran and the wider Islamic world. This fortified network functioned both as a refuge and as a scholarly and cultural hub, sustaining the Nezāri community until the fall of Alamūt in 1256 and continuing to shape regional religious and intellectual history long thereafter. Together, the fortifications illustrate the strategic organisation, resilience, and cultural significance of the Nezāri Ismaʿili state.
Description is available under license
CC-BY-SA IGO 3.0","Alamūt Castle and Related Fortifications
The serial property comprises of Alamūt Castle and six associated fortifications—Lambesar, Navizaršāh, Šams Kelāyeh, Qosṭinlār, Širkūh, and Ilān—strategically positioned within the rugged landscape of the Alborz Mountains in Qazvin Province, northern Iran. From the late 11th century CE, Alamūt served as the political, military, and intellectual centre of the Nezāri Ismaʿilis, an influential Islamic movement whose reach extended across Iran and the wider Islamic world. This fortified network functioned both as a refuge and as a scholarly and cultural hub, sustaining the Nezāri community until the fall of Alamūt in 1256 and continuing to shape regional religious and intellectual history long thereafter. Together, the fortifications illustrate the strategic organisation, resilience, and cultural significance of the Nezāri Ismaʿili state.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(iii),,,,MEDIUM,5,0,,,,,,,castle,,extended; fortified,Name_Fortification; OUV_ConstructionVerbs,castle
1762,The system of Italian-style <em>condominio</em> theatres of the 18th and 19th centuries in Central Italy,Italy,,2026,Cultural,,,0,0,it,https://whc.unesco.org/en/list/1762,"The system of Italian-style
condominio
theatres of the 18th and 19th centuries in Central Italy
The serial property comprises ten Italian‑style condominio theatres built between the mid‑18th and late 19th centuries across Emilia‑Romagna, Marche, and Umbria in central Italy. Architecturally representative of Neoclassicism with Late Baroque influences, these theatres feature tiered boxes, carefully designed auditoriums for optimal acoustics and visibility, stalls, foyers, ridotti, and historic stage machinery. They embody the innovative “condominio” system, a model of collective ownership and public‑private financing that enabled municipalities and private citizens to collaborate in constructing theatres in small and medium‑sized towns. This system fostered the growth of a widespread cultural network, providing new representational spaces for the emerging bourgeoisie and broadening public access to the performing arts. Located at the heart of historic town centres, these theatres became important civic meeting places, hosting performances and public events and contributing to the formation of public opinion.
Description is available under license
CC-BY-SA IGO 3.0","The system of Italian-style
condominio
theatres of the 18th and 19th centuries in Central Italy
The serial property comprises ten Italian‑style condominio theatres built between the mid‑18th and late 19th centuries across Emilia‑Romagna, Marche, and Umbria in central Italy. Architecturally representative of Neoclassicism with Late Baroque influences, these theatres feature tiered boxes, carefully designed auditoriums for optimal acoustics and visibility, stalls, foyers, ridotti, and historic stage machinery. They embody the innovative “condominio” system, a model of collective ownership and public‑private financing that enabled municipalities and private citizens to collaborate in constructing theatres in small and medium‑sized towns. This system fostered the growth of a widespread cultural network, providing new representational spaces for the emerging bourgeoisie and broadening public access to the performing arts. Located at the heart of historic town centres, these theatres became important civic meeting places, hosting performances and public events and contributing to the formation of public opinion.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(iii),,,,MEDIUM,7,0,,,,,,,theatre,baroque; late baroque,built; designed,Name_Civic_Infrastructure; OUV_ArchTerms; OUV_ConstructionVerbs,theatre
1757,Ancient Capitals of Asuka and Fujiwara,Japan,,2026,Cultural,,,0,0,jp,https://whc.unesco.org/en/list/1757,"Ancient Capitals of Asuka and Fujiwara
Located in the southern part of the Nara Basin, Asuka and Fujiwara were the two ancient capitals of the Japanese archipelago that marked the establishment of a centralised state system modelled after the Chinese codified law known as ritsuryō. Nineteen component parts, comprising palaces/government offices, Buddhist temples and mounded tombs, contain archaeological evidence of the Asuka Capital (588-694 CE) and the Fujiwara Capital (694-710 CE). The Asuka capital was established at the site of the Asuka-dera Temple, the first Buddhist temple in Japan. Together, the sites illustrate the introduction and consolidation of key elements of early centralized governance and influenced the later Japanese capitals of Nara and Kyoto.
Description is available under license
CC-BY-SA IGO 3.0","Ancient Capitals of Asuka and Fujiwara
Located in the southern part of the Nara Basin, Asuka and Fujiwara were the two ancient capitals of the Japanese archipelago that marked the establishment of a centralised state system modelled after the Chinese codified law known as ritsuryō. Nineteen component parts, comprising palaces/government offices, Buddhist temples and mounded tombs, contain archaeological evidence of the Asuka Capital (588-694 CE) and the Fujiwara Capital (694-710 CE). The Asuka capital was established at the site of the Asuka-dera Temple, the first Buddhist temple in Japan. Together, the sites illustrate the introduction and consolidation of key elements of early centralized governance and influenced the later Japanese capitals of Nara and Kyoto.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(ii)(iii),,,,LOW,4,0,,,,,,capital,capital; temple; tomb,,,Criterion_ii; OUV_ArchElements,
1760,Rock Mosques and Associated Sacred Sites of Mangystau,Kazakhstan,,2026,Cultural,,,0,0,kz,https://whc.unesco.org/en/list/1760,"Rock Mosques and Associated Sacred Sites of Mangystau
The serial property, located on the Mangystau Peninsula bordering the Caspian Sea, consists of five sacred sites carved into the rock along with adjacent extensive burial grounds. Beket-Ata, Shopan-Ata, Karaman-Ata, Shakpak-Ata and Sultan-Epe, each associated with a Sufi master, date from the 12th to the 18th centuries. The complexes, known locally as “underground mosques”, are a particular type of structure created in natural caves, carved into steep rocks or dug into the ground in the semi-desert landscape. Originating in the nomadic environment of the Mangystau and Ustyurt plateaus, the component parts represent a culture that is the result of the evolution of sacred practices in which Islamic Sufi spirituality organically continued and transformed more ancient practices related to ancestor worship, the sacredness of the landscape and the role of spiritual leaders. They have been important pilgrimage destinations throughout the centuries. The rock-carved sacred sites range from smaller structures to more complex spaces. They have different architectural layouts and organisation, including prayer halls, mihrabs, rooms for contemplation and self-reflection, multifunctional spaces and tombs of saints. The complexes comprise courtyards, water sources, sacred trees, paths and cemeteries, the latter dating from the 10th to the 20th centuries.
Description is available under license
CC-BY-SA IGO 3.0","Rock Mosques and Associated Sacred Sites of Mangystau
The serial property, located on the Mangystau Peninsula bordering the Caspian Sea, consists of five sacred sites carved into the rock along with adjacent extensive burial grounds. Beket-Ata, Shopan-Ata, Karaman-Ata, Shakpak-Ata and Sultan-Epe, each associated with a Sufi master, date from the 12th to the 18th centuries. The complexes, known locally as “underground mosques”, are a particular type of structure created in natural caves, carved into steep rocks or dug into the ground in the semi-desert landscape. Originating in the nomadic environment of the Mangystau and Ustyurt plateaus, the component parts represent a culture that is the result of the evolution of sacred practices in which Islamic Sufi spirituality organically continued and transformed more ancient practices related to ancestor worship, the sacredness of the landscape and the role of spiritual leaders. They have been important pilgrimage destinations throughout the centuries. The rock-carved sacred sites range from smaller structures to more complex spaces. They have different architectural layouts and organisation, including prayer halls, mihrabs, rooms for contemplation and self-reflection, multifunctional spaces and tombs of saints. The complexes comprise courtyards, water sources, sacred trees, paths and cemeteries, the latter dating from the 10th to the 20th centuries.
Description is available under license
CC-BY-SA IGO 3.0",2026-07-28,2026,(ii)(iii)(vi),,,,MEDIUM,9,0,,,,,,,courtyard; mihrab; mosque; tomb,architectural; layout; structure,carved,Criterion_ii; Name_Religious; OUV_ArchElements; OUV_ArchTerms,mosque
