Site_ID,Site_Name,Country,UNESCO_Criteria,Exclusion_Rationale
PH-001,Rice Terraces of the Philippine Cordilleras,Philippines,(iii)(iv)(v),Living agricultural terraced landscape; no permanent stone masonry structures.
CO-001,Coffee Cultural Landscape of Colombia,Colombia,(v)(vi),Agro-ecological coffee farming landscape lacking discrete stone monuments.
MX-001,Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,(ii)(iv)(v)(vi),Agricultural agave fields and industrial distilleries; no structural geological building stone.
CH-001,"Lavaux, Vineyard Terraces",Switzerland,(iii)(iv)(v),Agricultural vine terracing using un-faced soil retaining slopes; no masonry architecture.
PT-001,Alto Douro Wine Region,Portugal,(iii)(iv)(v),Viticultural landscape; primary value is agro-industrial land management.
IT-001,Piedmont Vineyards: Langhe-Roero and Monferrato,Italy,(iii)(v),Agricultural vine cultivation landscape without major architectural stone monuments.
PT-002,Landscape of the Pico Island Vineyard Culture,Portugal,(iii)(v),Volcanic soil vine enclosures; primary value is agricultural adaptation.
IT-002,Val d'Orcia,Italy,(ii)(iv),Renassaince agricultural land management landscape; no specific stone masonry focus.
PT-003,Cultural Landscape of Sintra,Portugal,(ii)(iv)(v),Romantic parkland and botanical cultural landscape.
JP-001,Historic Villages of Shirakawa-go and Gokayama,Japan,(iv)(v),Agricultural mountain valley landscape focusing on Gassho-style wooden houses.
CN-001,Cultural Landscape of Honghe Hani Rice Terraces,China,(iii)(v),Earthen rice paddy terraces; un-walled agricultural water management system.
PG-001,Kuk Early Agricultural Site,Papua New Guinea,(iii)(iv),Prehistoric wetland agricultural drainage ditches; zero masonry fabric.
CZ-001,Lednice-Valtice Cultural Landscape,Czechia,(i)(ii)(iv),Designed parkland landscape and forest management domain.
DE-001,Dessau-Wörlitz Garden Realm,Germany,(ii)(iv),18th-century English landscape park design; non-structural landscape garden.
DE-002,Muskauer Park / Park Mużakowski,Germany / Poland,(i)(iv),Designed landscape park straddling Neisse River; non-masonry landscape architecture.
GB-001,"Royal Botanic Gardens, Kew",United Kingdom,(ii)(iii)(iv),Botanical collection and landscape garden design.
GB-002,Studley Royal Park including the Ruins of Fountains Abbey,United Kingdom,(i)(iv),Water garden landscape design surrounding monastic ruin area.
GB-003,St Kilda,United Kingdom,(iii)(v),Isolated volcanic archipelago landscape inscribed for bird colonies and crofting life.
CN-002,West Lake Cultural Landscape of Hangzhou,China,(ii)(iii)(vi),Designed lacustrine garden landscape; non-structural aesthetic landscape.
CN-003,Mount Wutai,China,(ii)(iii)(iv)(vi),Sacred mountain landscape inscribed primarily for religious landscape associations.
CN-004,Mount Qingcheng and the Dujiangyan Irrigation System,China,(ii)(iv)(vi),Hydraulic river engineering and Taoist mountain landscape.
CN-005,Lushan National Park,China,(ii)(iii)(iv)(vi),Sacred mountain cultural landscape; primary value is literary and artistic landscape.
IR-001,Maymand Cultural Landscape,Iran,(v),Semi-nomadic agro-pastoral village landscape.
IR-002,Cultural Landscape of Hawraman/Uramanat,Iran,(iii)(v),Traditional agro-pastoral terraced mountain landscape.
MN-001,"Transhumance, the seasonal drove of livestock",Multi-national,(v),Intangible pastoral route landscape across mountain passes.
TG-001,"Koutammakou, the Land of the Batammariba",Togo,(v)(vi),Earthen mud-tower house landscape (Takienta); organic earthen construction.
NG-001,Sukur Cultural Landscape,Nigeria,(iii)(v),Agro-pastoral hilltop palace terrace landscape.
NG-002,Osun-Osogbo Sacred Grove,Nigeria,(ii)(iii)(vi),Sacred forest landscape inscribed for Yoruba spiritual groves.
ZW-001,Matobo Hills Cultural Landscape,Zimbabwe,(iii)(vi),Granite kopje landscape inscribed for rock art and spiritual associations.
ZA-001,Mapungubwe Cultural Landscape,South Africa,(iii)(iv)(v),Iron Age savannah palace landscape; earthen deposits.
ZA-002,Richtersveld Cultural and Botanical Landscape,South Africa,(iv)(v),Desert pastoral landscape of the Nama people.
IN-001,Khangchendzonga National Park,India,(iii)(vi),Mixed sacred mountain landscape of Mount Khangchendzonga.
