UNESCO ID,Site Name,Country,Stone Mentioned,Category,Mention Context
252,Taj Mahal,India,Coal,General Rock,"Taj Mahal  An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. The relief work in marble and inlay with precious and semi precious stones make it a monument apart. The exquisite octagonal marble lattice screen encircling both cenotaphs is a piece of superb workmanship. The building material used is brick-in-lime mortar veneered with red sandstone and marble and inlay work of precious/semi precious stones. The mosque and the guest house in the Taj Mahal complex are built of red sandstone in contrast to the marble tomb in the centre. The frame of the portal arches and the spandrels are veneered in white marble. The Supreme Court of India in December, 1996, delivered a ruling banning use of coal/coke in industries located in the Taj Trapezium Zone (TTZ) and switching over to natural gas or relocating them outside the TTZ."
252,Taj Mahal,India,Marble,General Rock,"Taj Mahal  An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. The relief work in marble and inlay with precious and semi precious stones make it a monument apart. The exquisite octagonal marble lattice screen encircling both cenotaphs is a piece of superb workmanship. The building material used is brick-in-lime mortar veneered with red sandstone and marble and inlay work of precious/semi precious stones. The mosque and the guest house in the Taj Mahal complex are built of red sandstone in contrast to the marble tomb in the centre. The frame of the portal arches and the spandrels are veneered in white marble. The Supreme Court of India in December, 1996, delivered a ruling banning use of coal/coke in industries located in the Taj Trapezium Zone (TTZ) and switching over to natural gas or relocating them outside the TTZ."
252,Taj Mahal,India,Red Sandstone,General Rock,"Taj Mahal  An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. The relief work in marble and inlay with precious and semi precious stones make it a monument apart. The exquisite octagonal marble lattice screen encircling both cenotaphs is a piece of superb workmanship. The building material used is brick-in-lime mortar veneered with red sandstone and marble and inlay work of precious/semi precious stones. The mosque and the guest house in the Taj Mahal complex are built of red sandstone in contrast to the marble tomb in the centre. The frame of the portal arches and the spandrels are veneered in white marble. The Supreme Court of India in December, 1996, delivered a ruling banning use of coal/coke in industries located in the Taj Trapezium Zone (TTZ) and switching over to natural gas or relocating them outside the TTZ."
252,Taj Mahal,India,Sandstone,General Rock,"Taj Mahal  An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. The relief work in marble and inlay with precious and semi precious stones make it a monument apart. The exquisite octagonal marble lattice screen encircling both cenotaphs is a piece of superb workmanship. The building material used is brick-in-lime mortar veneered with red sandstone and marble and inlay work of precious/semi precious stones. The mosque and the guest house in the Taj Mahal complex are built of red sandstone in contrast to the marble tomb in the centre. The frame of the portal arches and the spandrels are veneered in white marble. The Supreme Court of India in December, 1996, delivered a ruling banning use of coal/coke in industries located in the Taj Trapezium Zone (TTZ) and switching over to natural gas or relocating them outside the TTZ."
252,Taj Mahal,India,White Marble,General Rock,"Taj Mahal  An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. The relief work in marble and inlay with precious and semi precious stones make it a monument apart. The exquisite octagonal marble lattice screen encircling both cenotaphs is a piece of superb workmanship. The building material used is brick-in-lime mortar veneered with red sandstone and marble and inlay work of precious/semi precious stones. The mosque and the guest house in the Taj Mahal complex are built of red sandstone in contrast to the marble tomb in the centre. The frame of the portal arches and the spandrels are veneered in white marble. The Supreme Court of India in December, 1996, delivered a ruling banning use of coal/coke in industries located in the Taj Trapezium Zone (TTZ) and switching over to natural gas or relocating them outside the TTZ."
945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Granite,General Rock,It has carvings made in local yellow malad stones blended with Italian marble and polished granite in a few places. The architectural detailing is achieved through white limestone.
945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Limestone,General Rock,It has carvings made in local yellow malad stones blended with Italian marble and polished granite in a few places. The architectural detailing is achieved through white limestone.
945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Marble,General Rock,It has carvings made in local yellow malad stones blended with Italian marble and polished granite in a few places. The architectural detailing is achieved through white limestone.
344,Pont du Gard (Roman Aqueduct),France,Flagstone,General Rock,
907,Villa Adriana (Tivoli),Italy,Cipollino,General Rock,"The ‘Golden Square’ is one of the most impressive buildings in the complex, comprising a vast peristyle surrounded by a two-aisled  portico  with alternate columns of cipollino marble and Egyptian granite. The circular structure of the ‘Maritime Theatre’ comprises an ionic marble peristyle that surrounds an artificial circular island with a miniature villa."
907,Villa Adriana (Tivoli),Italy,Cipollino Marble,General Rock,"The ‘Golden Square’ is one of the most impressive buildings in the complex, comprising a vast peristyle surrounded by a two-aisled  portico  with alternate columns of cipollino marble and Egyptian granite. The circular structure of the ‘Maritime Theatre’ comprises an ionic marble peristyle that surrounds an artificial circular island with a miniature villa."
907,Villa Adriana (Tivoli),Italy,Granite,General Rock,"The ‘Golden Square’ is one of the most impressive buildings in the complex, comprising a vast peristyle surrounded by a two-aisled  portico  with alternate columns of cipollino marble and Egyptian granite. The circular structure of the ‘Maritime Theatre’ comprises an ionic marble peristyle that surrounds an artificial circular island with a miniature villa."
907,Villa Adriana (Tivoli),Italy,Marble,General Rock,"The ‘Golden Square’ is one of the most impressive buildings in the complex, comprising a vast peristyle surrounded by a two-aisled  portico  with alternate columns of cipollino marble and Egyptian granite. The circular structure of the ‘Maritime Theatre’ comprises an ionic marble peristyle that surrounds an artificial circular island with a miniature villa."
907,Villa Adriana (Tivoli),Italy,Cipollino Marble,Named Trade Stone,"The ‘Golden Square’ is one of the most impressive buildings in the complex, comprising a vast peristyle surrounded by a two-aisled  portico  with alternate columns of cipollino marble and Egyptian granite. The circular structure of the ‘Maritime Theatre’ comprises an ionic marble peristyle that surrounds an artificial circular island with a miniature villa."
788,Early Christian Monuments of Ravenna,Italy,Istrian Stone,General Rock,"These religious monuments, decorated with precious marble, stuccos and mosaics, reflect the major historical, political and religious events that took place in Ravenna, which became the capital of the Western Roman Empire in 402 AD, and remained prominent first Ostrogothic and then Byzantine capital in Italy through the fifth and sixth centuries. The Neonian Baptistery, ornate with its inlaid marble, stuccos and multi-coloured mosaics in the cupola, is the finest and most complete surviving example of an Early Christian baptistery. The Mausoleum of Theodoric is a unique and singular architectural work, constructed out of large blocks of Istrian stone around a central space, and is the only surviving example of a tomb of a barbarian king of this period."
788,Early Christian Monuments of Ravenna,Italy,Marble,General Rock,"These religious monuments, decorated with precious marble, stuccos and mosaics, reflect the major historical, political and religious events that took place in Ravenna, which became the capital of the Western Roman Empire in 402 AD, and remained prominent first Ostrogothic and then Byzantine capital in Italy through the fifth and sixth centuries. The Neonian Baptistery, ornate with its inlaid marble, stuccos and multi-coloured mosaics in the cupola, is the finest and most complete surviving example of an Early Christian baptistery. The Mausoleum of Theodoric is a unique and singular architectural work, constructed out of large blocks of Istrian stone around a central space, and is the only surviving example of a tomb of a barbarian king of this period."
788,Early Christian Monuments of Ravenna,Italy,Istrian Stone,Named Trade Stone,"These religious monuments, decorated with precious marble, stuccos and mosaics, reflect the major historical, political and religious events that took place in Ravenna, which became the capital of the Western Roman Empire in 402 AD, and remained prominent first Ostrogothic and then Byzantine capital in Italy through the fifth and sixth centuries. The Neonian Baptistery, ornate with its inlaid marble, stuccos and multi-coloured mosaics in the cupola, is the finest and most complete surviving example of an Early Christian baptistery. The Mausoleum of Theodoric is a unique and singular architectural work, constructed out of large blocks of Istrian stone around a central space, and is the only surviving example of a tomb of a barbarian king of this period."
1056,Mahabodhi Temple Complex at Bodh Gaya,India,Sandstone,General Rock,"Next to the Bodhi Tree there is a platform attached to the main temple made of polished sandstone known as Vajrasana (the Diamond Throne), originally installed by Emperor Asoka to mark the spot where Buddha sat and meditated. A sandstone balustrade once encircled this site under the Bodhi Tree, but only a few of the original pillars of the balustrade are still in situ; they contain carvings of sculpted human faces, animals, and decorative details."
3,Aachen Cathedral,Germany,Marble,General Rock,"The Cathedral Treasury in Aachen is regarded as one of the most important ecclesiastical treasuries in northern Europe; the most prominent inventory items are the cross of Lothar (about 1000 AD), made from gold and inlaid with precious stones, the dark-blue velvet chasuble with embroidered pearls, a reliquary-bust of Charlemagne made from silver and gold, and a marble sarcophagus decorated with a relief of the Abduction of Proserpine, which once contained the body of Charlemagne. Criterion (i):  With its columns of Greek and Italian marble, its bronze doors, the largest mosaic of its dome (now destroyed), the Palatine Chapel of Aachen, from its inception, has been perceived as an exceptional artistic creation."
288,Castles of Augustusburg and Falkenlust at Brühl,Germany,Jasper,General Rock,"At Augustusburg, the staircase of Balthasar Neumann – considered a work of creative genius – is a rapturous structure which unites a lively movement of marble and stucco, jasper columns and caryatids, and culminates in the astonishing frescoed ceiling of Carlo Carlone."
288,Castles of Augustusburg and Falkenlust at Brühl,Germany,Marble,General Rock,"At Augustusburg, the staircase of Balthasar Neumann – considered a work of creative genius – is a rapturous structure which unites a lively movement of marble and stucco, jasper columns and caryatids, and culminates in the astonishing frescoed ceiling of Carlo Carlone."
292,Cologne Cathedral,Germany,Limestone,General Rock,"These include the high altar with an enormous monolithic slab of black limestone, believed to be the largest in any Christian church, the carved oak choir stalls (1308-11), the painted choir screens (1332-40), the fourteen statues on the pillars in the choir (c."
241,Group of Monuments at Hampi,India,Granite,General Rock,"In addition to the typical spaces present in contemporary temples, it boasts of a Garuda shrine fashioned as a granite  ratha  and a grand bazaar street. Most of the structures at Hampi are constructed from local granite, burnt bricks and lime mortar. The roofs have been laid with the heavy thick granite slabs covered with a water proof course of brick jelly and lime mortar."
173,Stone Town of Zanzibar,United Republic of Tanzania,Coral Stone,General Rock,"The buildings of the Stone Town, executed principally in coralline ragstone and mangrove timber, set in a thick lime mortar and then plastered and lime-washed, reflect a complex fusion of Swahili, Indian, Arab and European influences in building traditions and town planning. The local artisans are competent in both the traditional building techniques and the skills needed to produce quality construction materials, namely laterite-sand, lime and coral stone."
173,Stone Town of Zanzibar,United Republic of Tanzania,Coralline,General Rock,"The buildings of the Stone Town, executed principally in coralline ragstone and mangrove timber, set in a thick lime mortar and then plastered and lime-washed, reflect a complex fusion of Swahili, Indian, Arab and European influences in building traditions and town planning. The local artisans are competent in both the traditional building techniques and the skills needed to produce quality construction materials, namely laterite-sand, lime and coral stone."
173,Stone Town of Zanzibar,United Republic of Tanzania,Laterite,General Rock,"The buildings of the Stone Town, executed principally in coralline ragstone and mangrove timber, set in a thick lime mortar and then plastered and lime-washed, reflect a complex fusion of Swahili, Indian, Arab and European influences in building traditions and town planning. The local artisans are competent in both the traditional building techniques and the skills needed to produce quality construction materials, namely laterite-sand, lime and coral stone."
173,Stone Town of Zanzibar,United Republic of Tanzania,Ragstone,General Rock,"The buildings of the Stone Town, executed principally in coralline ragstone and mangrove timber, set in a thick lime mortar and then plastered and lime-washed, reflect a complex fusion of Swahili, Indian, Arab and European influences in building traditions and town planning. The local artisans are competent in both the traditional building techniques and the skills needed to produce quality construction materials, namely laterite-sand, lime and coral stone."
174,Historic Centre of Florence,Italy,Pietra Forte,General Rock,"Florentines, aware of their own architectural past, have been able to preserve original building techniques with traditional building materials such as “pietra forte”, “pietra serena”, plasterwork, and frescoes."
174,Historic Centre of Florence,Italy,Pietra Serena,General Rock,"Florentines, aware of their own architectural past, have been able to preserve original building techniques with traditional building materials such as “pietra forte”, “pietra serena”, plasterwork, and frescoes."
174,Historic Centre of Florence,Italy,Pietra Forte,Named Trade Stone,"Florentines, aware of their own architectural past, have been able to preserve original building techniques with traditional building materials such as “pietra forte”, “pietra serena”, plasterwork, and frescoes."
174,Historic Centre of Florence,Italy,Pietra Serena,Named Trade Stone,"Florentines, aware of their own architectural past, have been able to preserve original building techniques with traditional building materials such as “pietra forte”, “pietra serena”, plasterwork, and frescoes."
987,Roman Walls of Lugo,Spain,Conglomerate,General Rock,"The Walls are built of internal and external stone facings of slate with some granite, with a core filling of a conglomerate of slate slabs and worked stone pieces from Roman buildings, interlocked with lime mortar. The use of local materials such as slate, granite and other stones that were re-used in the construction process gives the late imperial walls an original appearance, further enhanced by the fact that their perimeter and upper walkway are completely intact."
987,Roman Walls of Lugo,Spain,Granite,General Rock,"The Walls are built of internal and external stone facings of slate with some granite, with a core filling of a conglomerate of slate slabs and worked stone pieces from Roman buildings, interlocked with lime mortar. The use of local materials such as slate, granite and other stones that were re-used in the construction process gives the late imperial walls an original appearance, further enhanced by the fact that their perimeter and upper walkway are completely intact."
987,Roman Walls of Lugo,Spain,Slate,General Rock,"The Walls are built of internal and external stone facings of slate with some granite, with a core filling of a conglomerate of slate slabs and worked stone pieces from Roman buildings, interlocked with lime mortar. The use of local materials such as slate, granite and other stones that were re-used in the construction process gives the late imperial walls an original appearance, further enhanced by the fact that their perimeter and upper walkway are completely intact."
1645,Dholavira: a Harappan City,India,Agate,General Rock,"Unlike other Harappan antecedent towns normally located near to rivers and perennial sources of water, the location of Dholavira in the island of Khadir was strategic to harness different mineral and raw material sources (copper, shell, agate-carnelian, steatite, lead, banded limestone, among others) and to facilitate internal as well as external trade to the Magan (modern Oman peninsula) and Mesopotamian regions."
1645,Dholavira: a Harappan City,India,Carnelian,General Rock,"Unlike other Harappan antecedent towns normally located near to rivers and perennial sources of water, the location of Dholavira in the island of Khadir was strategic to harness different mineral and raw material sources (copper, shell, agate-carnelian, steatite, lead, banded limestone, among others) and to facilitate internal as well as external trade to the Magan (modern Oman peninsula) and Mesopotamian regions."
1645,Dholavira: a Harappan City,India,Limestone,General Rock,"Unlike other Harappan antecedent towns normally located near to rivers and perennial sources of water, the location of Dholavira in the island of Khadir was strategic to harness different mineral and raw material sources (copper, shell, agate-carnelian, steatite, lead, banded limestone, among others) and to facilitate internal as well as external trade to the Magan (modern Oman peninsula) and Mesopotamian regions."
1645,Dholavira: a Harappan City,India,Steatite,General Rock,"Unlike other Harappan antecedent towns normally located near to rivers and perennial sources of water, the location of Dholavira in the island of Khadir was strategic to harness different mineral and raw material sources (copper, shell, agate-carnelian, steatite, lead, banded limestone, among others) and to facilitate internal as well as external trade to the Magan (modern Oman peninsula) and Mesopotamian regions."
758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,Limestone,General Rock,"The main south door, known as the Porta Speciosa, is faced with red marble and flanked by five pairs of columns. Sculptured stones from the Romanesque cloister were found during studies carried out in the 1960s, when the door leading into the medieval refectory, with small red marble columns, also came to light. It consists of a single block, constructed in brick and limestone."
758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,Marble,General Rock,"The main south door, known as the Porta Speciosa, is faced with red marble and flanked by five pairs of columns. Sculptured stones from the Romanesque cloister were found during studies carried out in the 1960s, when the door leading into the medieval refectory, with small red marble columns, also came to light. It consists of a single block, constructed in brick and limestone."
758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,Red Marble,General Rock,"The main south door, known as the Porta Speciosa, is faced with red marble and flanked by five pairs of columns. Sculptured stones from the Romanesque cloister were found during studies carried out in the 1960s, when the door leading into the medieval refectory, with small red marble columns, also came to light. It consists of a single block, constructed in brick and limestone."
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Adobe,General Rock,"Most of the ancient city, which was largely built from adobe, has been overlaid by the modern town. Investigations have shown that it was originally clad in sandstone and andisite and surmounted by a temple. The walls of the small semi-subterranean temple (Templete) are made up of 48 pillars in red sandstone. It was made from a single slab of andesite cut to form a large doorway with niches (Hornacinas) on either side."
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Andesite,General Rock,"Most of the ancient city, which was largely built from adobe, has been overlaid by the modern town. Investigations have shown that it was originally clad in sandstone and andisite and surmounted by a temple. The walls of the small semi-subterranean temple (Templete) are made up of 48 pillars in red sandstone. It was made from a single slab of andesite cut to form a large doorway with niches (Hornacinas) on either side."
