Site_ID,Site_Name,Country,UNESCO_Criteria,Exclusion_Rationale
MULTI-01,Prehistoric Pile Dwellings around the Alps,Multi-national (6 Countries),(iv)(v),Submerged wooden stilt settlement remains in lakebed sediments; zero masonry.
JM-001,Port Royal Submerged Sunken City,Jamaica,(iv)(v),Submerged 17th-century town fabric under sea level; marine archaeology.
EG-001,Submerged Archaeological Royal Quarter of Alexandria,Egypt,(i)(ii)(iii),Submerged underwater harbour remains; underwater conservation domain.
IT-003,Baiae Submerged Roman Archaeological Park,Italy,(ii)(iii)(iv),Sunken Roman coastal villas under sea level; marine archaeological reserve.
GR-001,Submerged Bronze Age Settlement of Pavlopetri,Greece,(iii)(iv),Submerged seabed ruins in Laconia; underwater non-terrestrial site.
SE-002,Underwater Shipwreck Reserve of the Baltic Sea,Sweden / Finland,(iv),Submerged wooden shipwrecks in brackish Baltic waters; marine heritage.
TR-001,Uluburun Submerged Shipwreck Site,Türkiye,(iii),Bronze Age shipwreck seabed site; underwater cargo excavation.
TR-002,Yenikapı Submerged Byzantine Harbour Deposits,Türkiye,(iii)(iv),Submerged harbour silt deposits and sunken Byzantine ships.
AE-001,Submerged Prehistoric Seafaring Sites of the Persian Gulf,United Arab Emirates,(v),Submerged coastal seabed shell middens.
MH-001,Submerged Lagoon Settlement Remains of Marshall Islands,Marshall Islands,(v),Submerged marine lagoon coral reef deposits.
