Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Exploded Major Stone,Standardized Stone Name,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
1645,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery; nan",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)",,,Tier 9: Unflagged,
1645,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery; nan",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Limestone,Limestone,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)",,,Tier 9: Unflagged,
1645,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery; nan",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Agate,Agate,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)",,,Tier 9: Unflagged,
1645,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery; nan",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Carnelian,Chalcedony,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)",,,Tier 9: Unflagged,
1645,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery; nan",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Steatite,Talc,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)",,,Tier 9: Unflagged,
451,Old Town of Galle and its Fortifications,Sri Lanka,Fortified city / Urban ensemble; nan,Internal (DS/OUV),,16th to 19th centuries (Height of development: 18th century),Internal (DS/OUV),,"Portuguese, Dutch, and British Colonial (with South Asian integration)",Internal (DS/OUV),,,Internal (DS/OUV),,"Coral, Granite, and Cherts / Coral rag / Laterite",Coral,Coral Stone,,,Igneous Rock,,,"Brick, Lime mortar, Sandstone",Internal (DS/OUV),,"Coral rag, Kabook (Local Sri Lankan name for Laterite)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,Local coastal reefs (Coral); Local promontory outcrops and inland quarries (Granite/Laterite),Internal (DS/OUV),,Sri Lanka,Internal (DS/OUV),,Local,Internal (DS/OUV),,Short distance / In-situ (Immediate promontory and surrounding coast),Internal (DS/OUV),,"Ramparts, Bastions, Underground drainage system, Foundation, Wall masonry",Internal (DS/OUV),,"Veranda columns, Facades, Public and administrative building elements",Internal (DS/OUV),,Ashlar and rubble core masonry using coral and granite bound with lime mortar,Internal (DS/OUV),,"Marine bio-erosion, Salt crystallization, Moisture/humidity weathering",Internal (DS/OUV),,"Locally sourced coral lime mortar, matching local granite/coral blocks",Internal (DS/OUV),,Ongoing conservation managed by the Galle Heritage Foundation and Department of Archaeology,Internal (DS/OUV),,Good,,,Yes,"ICOMOS Evaluation Report (1988); 
Antiquities Ordinance of Sri Lanka (1948, rev. 1998)",,,Tier 9: Unflagged,
451,Old Town of Galle and its Fortifications,Sri Lanka,Fortified city / Urban ensemble; nan,Internal (DS/OUV),,16th to 19th centuries (Height of development: 18th century),Internal (DS/OUV),,"Portuguese, Dutch, and British Colonial (with South Asian integration)",Internal (DS/OUV),,,Internal (DS/OUV),,"Coral, Granite, and Cherts / Coral rag / Laterite",Granite,Granite,,,Igneous Rock,,,"Brick, Lime mortar, Sandstone",Internal (DS/OUV),,"Coral rag, Kabook (Local Sri Lankan name for Laterite)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,Local coastal reefs (Coral); Local promontory outcrops and inland quarries (Granite/Laterite),Internal (DS/OUV),,Sri Lanka,Internal (DS/OUV),,Local,Internal (DS/OUV),,Short distance / In-situ (Immediate promontory and surrounding coast),Internal (DS/OUV),,"Ramparts, Bastions, Underground drainage system, Foundation, Wall masonry",Internal (DS/OUV),,"Veranda columns, Facades, Public and administrative building elements",Internal (DS/OUV),,Ashlar and rubble core masonry using coral and granite bound with lime mortar,Internal (DS/OUV),,"Marine bio-erosion, Salt crystallization, Moisture/humidity weathering",Internal (DS/OUV),,"Locally sourced coral lime mortar, matching local granite/coral blocks",Internal (DS/OUV),,Ongoing conservation managed by the Galle Heritage Foundation and Department of Archaeology,Internal (DS/OUV),,Good,,,Yes,"ICOMOS Evaluation Report (1988); 
Antiquities Ordinance of Sri Lanka (1948, rev. 1998)",,,Tier 9: Unflagged,
451,Old Town of Galle and its Fortifications,Sri Lanka,Fortified city / Urban ensemble; nan,Internal (DS/OUV),,16th to 19th centuries (Height of development: 18th century),Internal (DS/OUV),,"Portuguese, Dutch, and British Colonial (with South Asian integration)",Internal (DS/OUV),,,Internal (DS/OUV),,"Coral, Granite, and Cherts / Coral rag / Laterite",Cherts / Coral rag / Laterite,Coral Stone,,,Igneous Rock,,,"Brick, Lime mortar, Sandstone",Internal (DS/OUV),,"Coral rag, Kabook (Local Sri Lankan name for Laterite)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,Local coastal reefs (Coral); Local promontory outcrops and inland quarries (Granite/Laterite),Internal (DS/OUV),,Sri Lanka,Internal (DS/OUV),,Local,Internal (DS/OUV),,Short distance / In-situ (Immediate promontory and surrounding coast),Internal (DS/OUV),,"Ramparts, Bastions, Underground drainage system, Foundation, Wall masonry",Internal (DS/OUV),,"Veranda columns, Facades, Public and administrative building elements",Internal (DS/OUV),,Ashlar and rubble core masonry using coral and granite bound with lime mortar,Internal (DS/OUV),,"Marine bio-erosion, Salt crystallization, Moisture/humidity weathering",Internal (DS/OUV),,"Locally sourced coral lime mortar, matching local granite/coral blocks",Internal (DS/OUV),,Ongoing conservation managed by the Galle Heritage Foundation and Department of Archaeology,Internal (DS/OUV),,Good,,,Yes,"ICOMOS Evaluation Report (1988); 
Antiquities Ordinance of Sri Lanka (1948, rev. 1998)",,,Tier 9: Unflagged,
288,Castles of Augustusburg and Falkenlust at Brühl,Germany,"Palatial ensemble comprising a 18th-century Rococo residence (Augustusburg Palace), a hunting lodge (Falkenlust), adjoining orangeries, and French-style gardens.; nan",,,,,,,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",,,Jasper,Jasper,Jasper,,,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tier 9: Unflagged,
171,Fort and Shalamar Gardens in Lahore,Pakistan,Fortified Palace & Water Garden Enclosure Complex; nan,Internal (DS/OUV),,16th – 17th Century (Akbar 1542–1605 through Shah Jahan 1627–1658; Shalamar Gardens completed 1641–1642),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,,Internal (DS/OUV),,"Red Sandstone, White Marble",Red Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,"Semi-precious stones (pietra dura / inlay), Glass mosaics, Gilt",Internal (DS/OUV),,,,,,,,,,,,,,"Red/Terracotta (Sandstone); Pure White, Milky White, Grey/Pink Streaked (Marble)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Baked brick masonry core with red sandstone courses, enclosing walls, gateways, bastions, and supporting pillars/pavilions",Internal (DS/OUV),,"Luxurious marble palaces, screens, inlay of semi-precious stones (pietra dura), glass mosaics (Shish Mahal), gilt, and zoomorphic corbels",Internal (DS/OUV),,"Ashlar stone cladding over baked brick, carved stone lattice (jaali) screens, corbelled brackets, and stone inlay/pietra dura",Internal (DS/OUV),,"Deterioration of hydraulic systems, moisture-induced micro-cracking, thermo-hygric expansion/bowing in marble, atmospheric pollution decay",Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Moderate,,,Yes,"1. Makrana Marble: A Popular Heritage Stone Resource
2. The Art of Pietra-dura during the 17th Century Mughal Era
3. Conservation Challenges and Emerging Trends in Pakistan",,,Tier 9: Unflagged,
