Site_ID,Site_Name,Country,UNESCO_Criteria,Exclusion_Rationale
NO-001,Urnes Stave Church,Norway,(i)(ii)(iii),Constructed entirely of timber framing and wooden shingles with zero stone masonry.
RU-001,Kizhi Pogost,Russian Federation,(i)(iv)(v),Log-built multi-domed wooden churches built without nails or stone foundations.
RO-001,Wooden Churches of Maramureş,Romania,(iv),Tall timber clock towers and wooden shingle roofs; zero structural stone.
PL-001,Wooden Tserkvas of the Carpathian Region,Poland / Ukraine,(iii)(iv),Corner-timber log construction built entirely of local softwood timber.
PL-002,Wooden Churches of Southern Little Poland,Poland,(iii)(iv),Horizontal log technique churches clad in wooden shingles; non-masonry.
SK-001,Wooden Churches of the Slovak Carpathian Mountain Area,Slovakia,(iii)(iv),Log-built vernacular timber churches; zero stone foundations.
FI-001,Petäjävesi Old Church,Finland,(iv),Constructed completely of Scots pine logs; traditional Nordic carpentry.
SE-001,"Church Town of Gammelstad, Luleå",Sweden,(iv)(v),408 wooden cottage structures built for churchgoers; timber architecture.
JP-002,Historic Wooden Architecture of Shirakawa-go,Japan,(iv)(v),Gassho-style thatched timber frame houses built without nails or stone.
JP-003,Shrines and Temples of Nikko (Timber Structures),Japan,(i)(iv)(vi),Lacquered wood frame construction; structural wood Joinery.
JP-004,Horyu-ji Area Wooden Monuments,Japan,(i)(ii)(iv)(vi),World's oldest surviving wooden structures; pure timber framing.
CL-001,Churches of Chiloé,Chile,(ii)(iii),Constructed entirely of native Cypress and Coigüe timber without metallic nails or stone.
CL-002,Chiloé Wooden Chapel Network,Chile,(iii)(iv),Timber joinery chapels clad in wooden shingles; non-stone fabric.
CN-006,Ancient Villages in Southern Anhui – Xidi and Hongcun (Timber Frames),China,(iii)(iv)(v),Huizhou-style wooden beam framing with plaster infill; non-masonry structural core.
BF-001,Royal Court of Tiébélé,Burkina Faso,(iii),Organic earthen mud and cow dung painted concessions; zero stone masonry.
GA-001,Chief Roi Denis Traditional Compound,Gabon,(v),Vernacular timber and bark ceremonial compound.
ID-001,Traditional Wooden Architecture of Nias Island,Indonesia,(iii)(iv),Omo Sebua wooden earthquake-resistant stilt houses.
ID-002,Toraja Traditional Settlements (Tongkonan),Indonesia,(v),Saddle-backed bamboo and timber raised clan houses.
FJ-001,Levuka Historical Port Town (Timber Vernacular),Fiji,(ii)(iv),19th-century timber-framed store fronts and corrugated iron roofs.
FM-001,Nan Madol (Timber/Thatch Royal Compounds),Micronesia,(ii)(iii)(iv),Associated organic thatch and timber royal residential structures.
UG-001,Tombs of Buganda Kings at Kasubi,Uganda,(i)(iii)(iv)(vi),"Massive circular dome constructed of wood, reed, and thatch; organic materials."
