Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",France,"Gothic, Romanesque, Baroque; nan",Internal (DS/OUV),,12th to 14th/15th Century (1150–1377 AD),Internal (DS/OUV),,Medieval Christian Europe / Avignon Papacy,Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy vaults, flying buttresses, arches, piers, towers (Trouillas Tower), ramparts",Internal (DS/OUV),,"Frescoes (Simone Martini, Matteo Giovanetti), carved Gothic chapels, monumental portals",Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,"20th-century restoration campaigns, fresco stabilization, structural wall rebuilding",Internal (DS/OUV),,Good,Internal (DS/OUV),,No,,,,Tier 9: Unflagged,
288,Castles of Augustusburg and Falkenlust at Brühl,Germany,"Palatial ensemble comprising a 18th-century Rococo residence (Augustusburg Palace), a hunting lodge (Falkenlust), adjoining orangeries, and French-style gardens.; nan",,,,,,,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",,,Jasper,,,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tier 9: Unflagged,
1025,"Villa d'Este, Tivoli",Italy,"Palace and water garden (Grottoes, fountains, ornamental basins); nan",Internal (DS/OUV),,16th Century (Laid out in 1550s; works began around 1560),Internal (DS/OUV),,Italian Renaissance / Mannerist / Baroque elements,Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,Volcanic Tuff / Stucco (Jet noted in automated classification),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Main body of the palace, stair ramps, retaining walls, terrace foundations",Internal (DS/OUV),,"Fountains (e.g., Fontana del Bicchierone), grottoes, balustrades, ornamental basins",Internal (DS/OUV),,,,,Rapid deterioration of decorations/fountains due to micro-climatic conditions and continuous water contact,Internal (DS/OUV),,,,,Methodical mural and fountain restorations per the Venice Charter,Internal (DS/OUV),,Excellent,,,No,"- UNESCO Dossier & OUV Statement


- ISPRA Travertines of Central Italy


- Centroni, A. (2008). Villa d'Este a Tivoli: quattro secoli di storia e restauri",,,Tier 9: Unflagged,
171,Fort and Shalamar Gardens in Lahore,Pakistan,Fortified Palace & Water Garden Enclosure Complex; nan,Internal (DS/OUV),,16th – 17th Century (Akbar 1542–1605 through Shah Jahan 1627–1658; Shalamar Gardens completed 1641–1642),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,,Internal (DS/OUV),,"Red Sandstone, White Marble",Internal (DS/OUV),,Sedimentary Rock,,,"Semi-precious stones (pietra dura / inlay), Glass mosaics, Gilt",Internal (DS/OUV),,,,,,,,,,,,,,"Red/Terracotta (Sandstone); Pure White, Milky White, Grey/Pink Streaked (Marble)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Baked brick masonry core with red sandstone courses, enclosing walls, gateways, bastions, and supporting pillars/pavilions",Internal (DS/OUV),,"Luxurious marble palaces, screens, inlay of semi-precious stones (pietra dura), glass mosaics (Shish Mahal), gilt, and zoomorphic corbels",Internal (DS/OUV),,"Ashlar stone cladding over baked brick, carved stone lattice (jaali) screens, corbelled brackets, and stone inlay/pietra dura",Internal (DS/OUV),,"Deterioration of hydraulic systems, moisture-induced micro-cracking, thermo-hygric expansion/bowing in marble, atmospheric pollution decay",Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Moderate,,,Yes,"1. Makrana Marble: A Popular Heritage Stone Resource
2. The Art of Pietra-dura during the 17th Century Mughal Era
3. Conservation Challenges and Emerging Trends in Pakistan",,,Tier 9: Unflagged,
958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,Skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
633,White Monuments of Vladimir and Suzdal,Russian Federation,"Ecclesiastical / Religious and Public Monuments (Cathedral, Church, Monastery, Castle/Palace, Fortress/Kremlin, Golden Gate); nan",Internal (DS/OUV),,12th–13th centuries (with 16th–17th century reconstructions/additions),,,Ancient Russian Principality / North-East Rus,Internal (DS/OUV),,,Internal (DS/OUV),,White Limestone,Internal (DS/OUV),,Sedimentary Rock,,,,,,"White Stone (""white-stone architecture / structures"")",Internal (DS/OUV),,Limestone,,,,,,,,,White,Internal (DS/OUV),,Regular blocks,Internal (DS/OUV),,Lime (in white lime mortar),Internal (DS/OUV),,,,,,,,,,,,,,"Load-bearing stonework faced in regular blocks of white limestone (walls, cubic towers, naves, drums, apses)",Internal (DS/OUV),,"Carved reliefs, exterior wall reliefs, fine stone carvings (over a thousand stone carvings on King David theme)",Internal (DS/OUV),,"Stonework faced in regular blocks of white limestone, ashlar masonry style",Internal (DS/OUV),,Atmospheric and vehicle pollution affecting white stone facades,Internal (DS/OUV),,White stone (Used in traditional restoration),Internal (DS/OUV),,"Restoration using traditional techniques, old construction methods, and authentic materials (white stone, white lime, wood, metal)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1720,The Historic Town and Archaeological Site of Gedi,Kenya,"Swahili coastal architecture (domestic, religious, civic, tombs, palace complex, grand mosque, sunken courts, city walls); nan",Internal (DS/OUV),,10th to 17th centuries (particularly 15th–17th centuries),Internal (DS/OUV),,Swahili Islamic Civilization,Internal (DS/OUV),,,Internal (DS/OUV),,Coral stone / Coral rag,Internal (DS/OUV),,Sedimentary Rock,,,,,,Coral rag,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Kenya,Internal (DS/OUV),,Local (Building stones); Imported luxury items (Porcelain/Glass),Internal (DS/OUV),,,,,"Walls, domestic structures, mosques, tombs, palace complex, wells, water sumps",Internal (DS/OUV),,Mosques and tombs embellished with carvings and inset Chinese porcelain,Internal (DS/OUV),,Coral rag/stone laid with lime mortar and earth mortar,Internal (DS/OUV),,Vulnerable; affected by vegetation and potential fire risks,Internal (DS/OUV),,,,,Traditional building materials and methods respected during maintenance,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),"Civic-ceremonial centre, Temples, Pyramids, Monoliths, Palaces, Urban ceremonial capital; nan",Internal (DS/OUV),,400 A.D. – 900 A.D. (flourished); apogee between 500 A.D. and 900 A.D.; declined 11th century to 12th century,Internal (DS/OUV),,Tiwanaku Culture / Pre-Inca Andean civilization,Internal (DS/OUV),,,Internal (DS/OUV),,"Sandstone, Red Sandstone, Andesite, Adobe (mud brick)",Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,Red (for Red Sandstone),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Retaining walls (Akapana Pyramid clad in sandstone/andesite), pillars (Templete made of red sandstone), door frames/gateways (Gate of the Sun), steps, underground drainage canals",Internal (DS/OUV),,"Bas-relief frieze (Gate of the Sun depicting central deity and anthropomorphic birds), carved stone heads set into temple walls, carved monoliths",Internal (DS/OUV),,Impressive accurately carved ashlar stones; carved from single slabs (monolithic); polished stone materials,Internal (DS/OUV),,Adverse effect of climatic conditions,Internal (DS/OUV),,,,,"Systematic conservation, restoration, and physical stabilization measures required under the main plan (1999–2009)",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
707,"Historic Ensemble of the Potala Palace, Lhasa",China,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
426,Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,United Kingdom of Great Britain and Northern Ireland,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
