TERMS,DEFINITIONS
aa,"A Hawaiian term for lava flows typified by a rough, jagged, or clinkery surface."
abandoned mineral lands (AML),"Lands, waters, and surrounding watersheds that contain facilities, structures, improvements, and disturbances associated with past mineral exploration, extraction, processing, and transportation, including oil and gas features and operations, for which the National Park Service takes action under various authorities to mitigate, reclaim, or restore in order to reduce hazards and impacts to resources."
abandoned mineral lands (AML) feature,"An individual element of an AML site, such as vertical shaft, adit, open stope, open pit, highwall, and prospect. Features include structures such as headframes, mills, wellheads, and storage facilities; landform modifications such as access roads, drainage diversions, and drill pads; and piles of ore, protore (marginal-grade ore), waste rock, soil stockpiles, and hardrock or placer tailings."
abandoned mineral lands (AML) site,"An area composed of AML features grouped by past ownership, geographical, or other logical grouping containing facilities, structures, improvements, and disturbances associated with past mineral exploration, extraction, processing, and transportation operations."
ablation,"All processes by which snow and ice are lost from a glacier, including melting, evaporation (sublimation), wind erosion, and calving."
ablation till,"Loosely consolidated rock debris, formerly in or on a glacier, that accumulated in place as ablation removed the surface ice."
absolute age,"The geologic age (in years) of a fossil, rock, feature, or event. The term is now in disfavor as it implies a certainty or exactness that may not be possible by present dating methods. See “isotopic age” and “radiometric age.”"
abyssal plain,A flat region of the deep ocean floor.
accessory mineral,A mineral whose presence in a rock is not essential to the proper classification of the rock.
accretion (sedimentary),"The gradual addition of new land to an existing landmass by the deposition of sediment, for example, on a beach by the washing up of sand from the sea."
accretion (streams),The filling-up of a stream channel as a result of such factors such as silting or wave action.
accretion (structural geology),"The addition of island-arc or continental material to a continent via collision, welding, or suturing at a convergent plate boundary."
accretionary prism,A wedge-shaped body of deformed rock consisting of material scraped off oceanic crust as it descends at a subduction zone.
acmite,Synonymous with aegirine. A brown or green monoclinic mineral of the clinopyroxene group: NaFe3+[Si2O6]. It occurs in certain alkali-rich igneous rocks.
actinolite,"A bright green or grayish green monoclinic mineral of the amphibole group: Ca(Mg,Fe)5(OH)2[Si8O22]. It may contain manganese. It sometimes occurs in the form of asbestos, and also in fibrous, radiated, or columnar forms in metamorphic rocks (such as schists) and in altered igneous rocks."
active margin,"A tectonically active plate boundary where lithospheric plates are converging, diverging, or sliding past one another."
adit,A horizontal passage into a mine from the surface.
aeolian,"Describes materials formed, eroded, or deposited by or related to the action of wind."
agglomerate,A consolidated pyroclastic rock made primarily of bombs. Roughly synonymous with spatter.
agglutinate,A welded pyroclastic deposit characterized by vitric material binding the individual clasts that commonly became fused while hot and viscous.
aggradation,The building up of Earth’s surface by depositional processes.
alaskite,An intrusive igneous rock with a high percentage of sodium- or potassium-rich feldspar minerals and a low percentage of mafic minerals.
albite,"A silicate (silicon + oxygen) mineral of the plagioclase group composed of sodium and aluminum, NaAlSi3O8."
algal ridge,"A low ridge or elevated margin at the seaward (outer) edge of a reef flat, composed of the calcium-carbonate secretions of actively growing calcareous algae."
alkali,Describes silicate (silicon + oxygen) minerals that contain alkali metals such as sodium and potassium.
alkalic,Describes a rock that is enriched in sodium and potassium.
alkali feldspar,A group of potassium-rich feldspar minerals containing alkali metals.
alkali metals,"Any of the soft, white, low-density, low-melting, highly reactive metallic elements, including lithium, sodium, potassium, rubidium, cesium, and francium, belonging to Group 1A of the periodic table."
allanite,A brownish black silicate (silicon + oxygen) mineral of the epidote group.
allochthon,A mass of rock or a fault block that tectonic processes moved from its place of origin; commonly underlain by décollements.
allochthonous,Describes rocks or minerals formed elsewhere than their present place.
alloformation,"A mappable body of sedimentary rock with roughly parallel layers that is defined and identified on the basis of bounding discontinuities (i.e., erosional truncations or breaks in sedimentation) rather than on the basis of lithologic change."
alluvial fan,"A low, relatively flat to gently sloping, fan-shaped mass of loose rock material deposited by a stream, especially in a semiarid region, where a stream issues from a canyon onto a plain or broad valley floor."
alluvial terrace,"A stream terrace composed of unconsolidated alluvium produced by a rejuvenated stream via renewed downcutting of the floodplain or valley floor, or by the covering of a terrace with alluvium."
alluvium,Stream-deposited sediment.
alpine glacier,"A small glacier in a mountain range (i.e., not an ice cap or ice sheet) that usually originates in a cirque and may flow down into a valley previously carved by a stream. Synonymous with “mountain glacier” and “valley glacier.”"
altiplanation,"Solifluction and related slope movements that tend to produce flat or terracelike surfaces, especially at high elevations and latitudes."
Altithermal,"A dry postglacial interval (from about 8,000 to 4,000 calendar years ago) during which temperatures were higher than at present."
aluminosilicate,A silicate (silicon + oxygen) mineral in which aluminum substitutes for some of the silicon in the SiO4 tetrahedra.
ammonite,"Any ammonoid belonging to the suborder Ammonitina, characterized by a thick, ornamental shell with sutures having finely divided lobes and saddles. Range: Jurassic to Cretaceous."
amphibole,A group of silicate (silicon + oxygen) minerals composed of hydrous calcium and magnesium with the general formula (Ca2Mg5)Si8O22(OH)2.
