Site ID,Site Name,Country,UNESCO Mention,Mentioned Major Stone(s),Standardised Stone Name,Description Mention Statement,OUV Mention Statement,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
3,Aachen Cathedral,Germany,Yes,Marble,Marble,,"The Cathedral Treasury in Aachen is regarded as one of the most important ecclesiastical treasuries in northern Europe; the most prominent inventory items are the cross of Lothar (about 1000 AD), made from gold and inlaid with precious stones, the dark-blue velvet chasuble with embroidered pearls, a reliquary-bust of Charlemagne made from silver and gold, and a marble sarcophagus decorated with a relief of the Abduction of Proserpine, which once contained the body of Charlemagne. || Criterion (i):

With its columns of Greek and Italian marble, its bronze doors, the largest mosaic of its dome (now destroyed), the Palatine Chapel of Aachen, from its inception, has been perceived as an exceptional artistic creation.",Palatine Chapel / Cathedral (Carolingian octagonal core with Gothic choir and additions); nan,Internal (DS/OUV),,Began c. 790–800 (c. 793–813; consecrated 805),Internal (DS/OUV),,Carolingian (Frankish) Empire / Holy Roman Empire,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Metamorphic Rock,,,"Local quarry stone (Sandstone/Limestone), Granite (1840s replacement columns)",,,Aachen Bluestone / Aachener Blaustein (fossiliferous limestone),,,"Fossiliferous Limestone, Marble, Sandstone",,,Na,,,,,,Greek and Italian marble tones,Internal (DS/OUV),,,,,,,,"Local quarries (Aachen area); Ancient spolia sourced from Rome, Ravenna, and Cologne (St. Gereon)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Germany, Italy, Greece",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Local (immediate vicinity) to Long-distance (>1,000 km from Rome and Ravenna)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,,,,"Eight main octagonal piers, vaulted arcades, load-bearing exterior walls, octagonal drum, and dome cupola",Internal (DS/OUV),,"Antique interior marble columns/facade lining, Carolingian stone throne, Proserpine relief sarcophagus",Internal (DS/OUV),,,,,,,,,,,,,,Good,,,"ICOMOS Advisory Body Evaluation, Wikipedia: Aachen Cathedral Entry, and Wikimedia Commons Stone Archives",,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,Yes,Obsidian,Obsidian,,"Rich concentration of varied lithic assemblages made from volcanic rocks with different knapping techniques, and evidence of high-quality of standardised obsidian tools, suggest a level of planning and innovation. || Evidence of the centuries-long tradition of procurement and use of obsidian starting with the Oldowan industry makes the property the earliest known example of obsidian utilisation and an outstanding witness of continuity of exploitation of this raw material. || Criterion (v):

The cluster of Pleistocene archaeological and palaeontological sites of Melka Kunture and Balchit testifies in an exceptional way to the consistent exploitation of obsidian as a raw material and its extensive use for tool production that starts with the Oldowan industry. || It is the earliest known example of obsidian utilisation, and the only known place in the world that holds an uninterrupted record of systematic procurement of this volcanic glass and its knapping since two million years ago. || High-quality and quantity of standardised obsidian tools found in Acheulean contexts suggests possible introduction of specialised production sites.","Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,Yes,Tuff,Tuff,,"With a relatively continuous stratigraphic sequence formed by the accumulation of fluvial/alluvial and volcano-derived deposits interposed with tuff, the property preserves an exceptionally long cultural sequence consisting of four consecutive phases of the Oldowan, Acheulean, Middle Stone Age and Late Stone Age techno-complexes, documented in a variety of archaeological contexts, testifying to the occupation of the area by hominin groups from two million years ago. || They also provide valuable information on the sedimentary history of the area and allow to determine the chronology of cultural horizons of the Pleistocene epoch based on the dating of volcanic tuffs preserved in the Melka Kunture succession. || Criterion (iv):

Fragments of Quaternary fossil landscapes, preserved buried under volcanic tuffs and sedimentary deposits of the ensemble of Pleistocene archaeological and palaeontological sites of Melka Kunture and Balchit, allow to reconstruct the palaeo-environment and palaeo-climate of the Ethiopian Highlands during the Pleistocene epoch and understand better the lifestyle of hominin groups occupying the area. || The cultural sequence and the geologic record – with volcanic tuffs that allow to determine the chronology of cultural horizons – are preserved undisturbed.","Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,Yes,Volcanic Rock,Volcanic Rock,"The sites, situated about 2,000 to 2,200 metres above sea level, yielded Homo erectus, Homo heidelbergensis and archaic Homo sapiens fossils, documented in well-dated strata in association with various tools made from volcanic rocks.","Rich concentration of varied lithic assemblages made from volcanic rocks with different knapping techniques, and evidence of high-quality of standardised obsidian tools, suggest a level of planning and innovation.","Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,Yes,Volcanic Tuff,Tuff,,"With a relatively continuous stratigraphic sequence formed by the accumulation of fluvial/alluvial and volcano-derived deposits interposed with tuff, the property preserves an exceptionally long cultural sequence consisting of four consecutive phases of the Oldowan, Acheulean, Middle Stone Age and Late Stone Age techno-complexes, documented in a variety of archaeological contexts, testifying to the occupation of the area by hominin groups from two million years ago. || They also provide valuable information on the sedimentary history of the area and allow to determine the chronology of cultural horizons of the Pleistocene epoch based on the dating of volcanic tuffs preserved in the Melka Kunture succession. || Criterion (iv):

Fragments of Quaternary fossil landscapes, preserved buried under volcanic tuffs and sedimentary deposits of the ensemble of Pleistocene archaeological and palaeontological sites of Melka Kunture and Balchit, allow to reconstruct the palaeo-environment and palaeo-climate of the Ethiopian Highlands during the Pleistocene epoch and understand better the lifestyle of hominin groups occupying the area. || The cultural sequence and the geologic record – with volcanic tuffs that allow to determine the chronology of cultural horizons – are preserved undisturbed.","Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
17,Lower Valley of the Omo,Ethiopia,Yes,sedimentary deposits,Sedimentary Deposits,,"The age old sedimentary deposits in the Lower Omo Valley are now world renowned for the discovery of many hominid fossils, that have been of fundamental importance in the study of human evolution.",Sedimentary deposits mentioned,Internal (DS/OUV),,,Internal (DS/OUV),,,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,,,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mesa Verde National Park,United States of America,Yes,Sandstone,Sandstone,,"Some 600 cliff dwellings built of sandstone and mud mortar have been recorded within Mesa Verde National Park – including the famous multi-storey Cliff Palace, Balcony House, and Square Tower House – and an additional 4,300 archaeological sites have been discovered. || Large portions of the sandstone and mud-mortar multi-storey buildings have survived intact in form and materials, a tribute to the engineering skills of these early peoples as well as the dry environment of the mesa’s alcoves.","Cliff dwellings, mesa-top villages, pit-house settlements, masonry-walled villages; nan",Internal (DS/OUV),,6th to the 12th century (c. 450 to 1300),Internal (DS/OUV),,Ancestral Pueblo Indian / Native American,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (alcove/mesa plateau setting),Internal (DS/OUV),,,,,"Built of sandstone and mud mortar (multi-storey cliff dwellings, rooms, towers, balconies, walls)",Internal (DS/OUV),,Rock art,Internal (DS/OUV),,"Sandstone and mud mortar masonry, masonry-walled structures",Internal (DS/OUV),,Erosion following wildland fires,Internal (DS/OUV),,,Internal (DS/OUV),,"Stabilized, routine monitoring, condition assessment, and preservation treatment",Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
32,Wieliczka and Bochnia Royal Salt Mines,Poland,Yes,Rock Salt,Rock Salt,"Wieliczka and Bochnia Royal Salt Mines

The deposit of rock salt in Wieliczka and Bochnia has been mined since the 13th century.","Brief synthesis

The Wieliczka and Bochnia salt mines are located on the same geological rock salt deposit in southern Poland. || A substantial ensemble of statues and decorative elements sculpted into the rock salt has been preserved in both mines, along with an ensemble of tools and machinery. || The galleries, the subterranean chambers arranged and decorated in ways that reflect the miners’ social and religious traditions, the tools and machinery, and the Saltworks Castle which administered the establishment for centuries, provide outstanding testimony about the socio-technical system involved in the underground mining of rock salt. || Both mines present the diversity of the ensemble, in mining, technical and artistic terms, and the completeness of the evidence of the historically ancient working of rock salt in this region of what is today Southern Poland.","Monument, Plan, Structure; nan",Internal (DS/OUV),,13th century to 20th century,Internal (DS/OUV),,Medieval to Modern Polish / European Industrial,Internal (DS/OUV),,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,Halite (Rock Salt),Internal (DS/OUV),,In-situ underground deposit (Wieliczka and Bochnia deposit),Internal (DS/OUV),,Poland,Internal (DS/OUV),,Local (Extracted directly on site),Internal (DS/OUV),,,,,"Underground galleries, shafts, chapels, workshops, storehouses, Saltworks Castle",Internal (DS/OUV),,"Altars, statues, and decorative elements sculpted directly into rock salt",Internal (DS/OUV),,Rock-cut subterranean excavation and salt sculpting,Internal (DS/OUV),,,,,,,,Long-term programme of stabilization of abandoned galleries and targeted gallery conservation,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
80,Mont-Saint-Michel and its Bay,France,Yes,Granite,Granite,,"The older part of the present abbey, the small pre-Romanesque church with a double nave, Notre-Dame-sous-terre, in granite masonry and flat bricks, dates back undoubtedly to the 10th century.","Gothic, Romanesque, Flamboyant Gothic (choir), Pre-Romanesque; nan",Internal (DS/OUV),,10th to 16th centuries (founding of sanctuary in 708; Benedictine abbey in 966; Romanesque/Gothic additions 11th–16th c.),Internal (DS/OUV),,Medieval Christian Civilization / French Benedictine,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Flat bricks (used with granite masonry in Notre-Dame-sous-terre),Internal (DS/OUV),,,,,Granitic rock summit / islet base; granite masonry,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,France,Internal (DS/OUV),,Local (rock summit / surrounding rocky islet),Internal (DS/OUV),,,,,"Foundation/crossing supported by rock summit; high load-bearing walls, ribbed vaults, double nave",Internal (DS/OUV),,Cloister with colonnettes grouped in five; airy pinnacles,Internal (DS/OUV),,Granite masonry paired with flat bricks,Internal (DS/OUV),,Siltation/silting up of the bay; vulnerability of surrounding rocks to natural phenomena/coastal dynamics,Internal (DS/OUV),,,,,Restoration of Romanesque choir (1448); 19th-century dignity restorations; Spire construction (1897); Periodic rock consolidation works,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,Yes,Limestone,Limestone,,"Criterion (iii):

The ensemble of structures and associated archaeological remains at Memphis, including the archaic necropolis at Saqqara, dating back to formation of Pharaonic civilization, the limestone step pyramid of Djoser, the oldest pyramid to be constructed, the tombs and pyramids that reflect the development of funerary monuments, and the remains of the city, together form an exceptional testimony to the power and organization of the ancient capital of Egypt.","Rock tombs, ornate mastabas, temples, pyramids, palaces, craftsmen’s workshops, dockyards, arsenals, residential neighbourhoods; nan",Internal (DS/OUV),,"3000 BC (Old Kingdom through Middle, New, Late, and Ptolemaic Periods)",Internal (DS/OUV),,Ancient Egyptian / Pharaonic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,Internal (DS/OUV),,,,,,,,"Monumental stone building, pyramids (e.g., Step Pyramid of Djoser, Great Pyramid of Khufu), step pyramids, temples, tombs",Internal (DS/OUV),,,,,"Rock-cut tombs, mastaba, pyramid constructions",Internal (DS/OUV),,"Damage from natural forces through time, causing surface detail vulnerabilities",Internal (DS/OUV),,,,,Principles of restoration applied respecting legibility and reversibility (Ministry of Antiquities projects),Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
