Site ID,Site Name,Country,Latitude,Longitude,UNESCO Criteria,Architecture Type,UNESCO Mention,Mentioned Major Stone(s),Local Stone Name,Secondary Stone,Rock Class,Lithology,Local vs Imported,Quarry,Masonry Technique,Structural Use,Condition,Weathering,Stone_Mention_OUV_Excerpt,Stone_Potential_Flag,Potential_Tier_Description
252.0,Taj Mahal,India,27.1751,78.0421,(i) to represent a masterpiece of human creative genius;,Indo-Islamic sepulchral architecture; nan,Yes,White Marble,Makrana Marble (Sang-e-Marmar / Pure White Calcite Marble),Red Sandstone,Sedimentary Rock,Metamorphic (Granoblastic Calcitic Marble with ~98–100% Calcite); Secondary stone is Sedimentary Quartzarenite Sandstone,"Imported (Transported from Nagaur, Rajasthan to Agra, Uttar Pradesh)","Makrana (Nagaur District, Rajasthan) for marble; Tantpur/Dholpur for red sandstone",Brick-in-lime mortar core veneered with dressed stone slices.,"Main tomb structure, minarets, platforms, domes, and wall veneering.",Good,Atmospheric pollution-induced discolouration; micro-cracking and bio-deterioration,Major Stone: White Marble | Local Name: Makrana Marble (Sang-e-Marmar / Pure White Calcite Marble) | Secondary Stone: Red Sandstone | Lithology: Metamorphic (Granoblastic Calcitic Marble with ~98–100% Calcite); Secondary stone is Sedimentary Quartzarenite Sandstone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
726.0,Historic Centre of Naples,Italy,40.8518,14.2681,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;","Greek, Roman, Byzantine, Norman, French Gothic, Tuscan/Aragonese, Renaissance, Baroque, Neoclassical; nan",Yes,"Yellow Tufa, Grey Piperno, White Marble",,,Igneous Rock,,Local (Yellow Tufa and Piperno derived locally from subsoil/Bay area); White Marble imported/regional,"Naples subsoil (Fontanelle, Capodimonte, Rione Sanità, Pizzofalcone) & western Campi Flegrei (Pianura, Soccavo)",,"Load-bearing masonry walls, foundations, city wall fortifications (e.g., Castel Nuovo, Castel dell'Ovo)",Moderate,,"Major Stone: Yellow Tufa, Grey Piperno, White Marble | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1016.0,Historical Centre of the City of Arequipa,Peru,-16.3989,-71.535,,"Colonial, Andean Baroque (Mestizo Baroque), Rococo, Neoclassical, Vernacular (Casonas), Historicist; nan",Yes,Sillar (Volcanic Stone / Volcanic Rock),Sillar (specifically Sillar de Arequipa),Andesite (Lava rock / River boulders),Igneous Rock,Dacitic to Rhyolitic Non-welded / Indurated Ignimbrite (Vitric Tuff / Pyroclastic Flow Deposit),Local (Extracted from nearby volcanic quarries surrounding the city),"Canteras de Añashuayco (Añashuayco Ravine / Paccha Quarry), Airport Quarry","Ashlar masonry (Sillar blocks, voussoirs, paving tiles cut to sizes such as 40x40x20 cubic cm), intricate hand carving by native masons","Robust load-bearing walls, foundations, semi-circular arches, porticos, thick vaults, pillars, bridges (Puente Real / Puente Grau)",Moderate,"Damage due to seismic activity (earthquakes), low-intensity volcanic activity, ENSO/flooding, high atmospheric pollution from vehicle emissions, and erosion",Major Stone: Sillar (Volcanic Stone / Volcanic Rock) | Local Name: Sillar (specifically Sillar de Arequipa) | Secondary Stone: Andesite (Lava rock / River boulders) | Lithology: Dacitic to Rhyolitic Non-welded / Indurated Ignimbrite (Vitric Tuff / Pyroclastic Flow Deposit) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
173.0,Stone Town of Zanzibar,United Republic of Tanzania,-6.163,39.1883,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;","a complex fusion of Swahili, Arab, Indian, and European influences; nan",Yes,Coralline ragstone / Coral stone,Coral rag / Nyumba za mawe material,Laterite,Sedimentary Rock,Na,Local,Local coastal coral reef exposures and shallow borrow pits / quarries across Unguja Island,"Coral ragstone set in thick lime mortar, encased in lime plaster and wash","Primary load-bearing masonry walls for two-storey mansions, palaces, forts, and residential buildings",Moderate,"Salt aerosol attack, high atmospheric humidity, tropical moisture, and rainfall deterioration",Major Stone: Coralline ragstone / Coral stone | Local Name: Coral rag / Nyumba za mawe material | Secondary Stone: Laterite | Lithology: Na | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
174.0,Historic Centre of Florence,Italy,43.7711,11.256,,"Renaissance, Gothic, Romanesque, Medieval, Roman; nan",Yes,"Pietra Forte, Pietra Serena","Pietra Forte, Pietra Serena","Carrara Marble, Marmo di Corylo, Rosso di Cotto",Sedimentary Rock,Turbiditic silicic-carbonate sandstone (Pietra Forte); Feldspathic greywacke sandstone (Pietra Serena),Local (Pietra Forte & Pietra Serena); Regional Import (Carrara Marble),"Boboli Hill Quarries, Costa San Giorgio (Pietra Forte); Fiesole & Monte Ceceri Quarries (Pietra Serena); Apuan Alps / Carrara (Marble)","Rustication (ashlar), cobblestone paving, traditional Florentine stone masonry","Fortified walls, palaces, bridges, structural pillars, foundations, exterior load-bearing masonry",Good,"Exfoliation, atmospheric pollution degradation, humidity erosion, flood risk","Major Stone: Pietra Forte, Pietra Serena | Local Name: Pietra Forte, Pietra Serena | Secondary Stone: Carrara Marble, Marmo di Corylo, Rosso di Cotto | Lithology: Turbiditic silicic-carbonate sandstone (Pietra Forte); Feldspathic greywacke sandstone (Pietra Serena) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
907.0,Villa Adriana (Tivoli),Italy,41.9427,12.7744,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Imperial Roman Classical Architecture; nan,Yes,"Cipollino Marble (Marmor Carystium), Granite, Marble, Travertine (Lapis Tiburtinus), Tufa",,"Pavonazzetto, Porfido Rosso (Red Porphyry), Proconnesian Marble",Metamorphic Rock,,Both: Travertine and Tufa are Local; Cipollino Marble and Egyptian Granite are Imported,Euboea/Carystos quarries (Cipollino); Aswan quarries (Egyptian Granite); Tivoli / Barco quarries (Travertine & Tufa),"Opus reticulatum, opus mixtum, opus testaceum (brick-faced concrete core), and opus quadratum (travertine ashlar block masonry)","Structural piers, load-bearing walls, foundations, and vaults (Tufa and Travertine); load-bearing columns (Travertine & Granite)",Good,"Atmospheric weathering, carbonate dissolution, biological growth, and material degradation from past exposure/neglect","Major Stone: Cipollino Marble (Marmor Carystium), Granite, Marble, Travertine (Lapis Tiburtinus), Tufa | Secondary Stone: Pavonazzetto, Porfido Rosso (Red Porphyry), Proconnesian Marble | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1645.0,Dholavira: a Harappan City,India,23.8865,70.2104,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;","Fortified city, Water Reservoirs, and Cemetery; nan",Yes,"Sandstone, Limestone, Agate, Carnelian, Steatite",Khadir Sandstone / Calcareous Sandstone,"Agate, Carnelian, Steatite, Banded Limestone",Sedimentary Rock,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone","Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Ancient stone quarry sites on Khadir Island (located in the buffer zone),Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Good,,"Major Stone: Sandstone, Limestone, Agate, Carnelian, Steatite | Local Name: Khadir Sandstone / Calcareous Sandstone | Secondary Stone: Agate, Carnelian, Steatite, Banded Limestone | Lithology: Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
945.0,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,18.9398,72.8355,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Victorian Gothic Revival blended with traditional Indian architecture; nan,Yes,"Yellow Malad Stone, Italian Marble, Polished Granite, White Limestone",Local Yellow Malad Stone (Yellow Basalt),"Italian Marble, Polished Granite, White Limestone",Igneous Rock,"Trachytic/Basaltic tuff (Malad yellow stone), crystalline marble, fine-grained limestone",Mixed (Local yellow Malad stone; Imported Italian marble),Malad Quarries (Mumbai); Carrara (Italy),"Ashlar stone masonry, octagonal ribbed dome masonry, bas-relief and openwork stone carving","Octagonal ribbed masonry dome, drum, turrets, pointed arches, main entrance gates, columns, and exterior walls",Good,Atmospheric degradation from air pollution/traffic emissions and chemical weathering from coastal saline air,"Major Stone: Yellow Malad Stone, Italian Marble, Polished Granite, White Limestone | Local Name: Local Yellow Malad Stone (Yellow Basalt) | Secondary Stone: Italian Marble, Polished Granite, White Limestone | Lithology: Trachytic/Basaltic tuff (Malad yellow stone), crystalline marble, fine-grained limestone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
3.0,Aachen Cathedral,Germany,50.7748,6.0839,,Palatine Chapel / Cathedral (Carolingian octagonal core with Gothic choir and additions); nan,Yes,Marble,Aachen Bluestone / Aachener Blaustein (fossiliferous limestone),"Local quarry stone (Sandstone/Limestone), Granite (1840s replacement columns)",Metamorphic Rock,"Fossiliferous Limestone, Marble, Sandstone","Local (immediate vicinity) to Long-distance (>1,000 km from Rome and Ravenna)","Local quarries (Aachen area); Ancient spolia sourced from Rome, Ravenna, and Cologne (St. Gereon)",,"Eight main octagonal piers, vaulted arcades, load-bearing exterior walls, octagonal drum, and dome cupola",Good,,"Major Stone: Marble | Local Name: Aachen Bluestone / Aachener Blaustein (fossiliferous limestone) | Secondary Stone: Local quarry stone (Sandstone/Limestone), Granite (1840s replacement columns) | Lithology: Fossiliferous Limestone, Marble, Sandstone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1056.0,Mahabodhi Temple Complex at Bodh Gaya,India,,,,"Classical style of Indian temple architecture (featuring a 50m curvilinear shikhara/tower, chaitya niches, stupas, and shrines); nan",Yes,Sandstone ,,Black stone,Sedimentary Rock,"Sandstone, Black ston",,,Late Gupta period brick masonry; stone carving for balustrades and relics,"Sandstone: Pillars of the balustrade, Vajrasana (Diamond Throne) platform.


Black Stone: Footprint slab (Padas).


(Bricks form the main body, walls, and tower)",Excellent,,"Major Stone: Sandstone  | Secondary Stone: Black stone | Lithology: Sandstone, Black ston | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
249.0,Group of Monuments at Mahabalipuram,India,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;","Rock-cut cave temples (mandapas), monolithic temples (rathas), open-air bas-reliefs, and structural temples (Dravida vimana style); nan",Yes,,,,,,Local (carved in live bedrock),,Direct rock-cut carving (monolithic) and dressed ashlar masonry blocks,,Moderate,,"Source Ref: • Rao et al. (2006) - Journal of Earth System Science


• Vora & Sundaresh - CSIR-NIO Study


• Sundaresh et al. - CSIR-NIO Marine Archaeology Study",,Tier 9: Unflagged
788.0,Early Christian Monuments of Ravenna,Italy,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Early Christian / Byzantine Monuments; nan,Yes,"Istrian Stone (Pietra d'Istria), Marble",Pietra d'Istria,"Proconnesian Marble, Greek Marbles, Porphyry",Sedimentary Rock,Microcrystalline Limestone (Istrian Stone); Crystalline Marble; Igneous Porphyry,Imported,Istria Quarries (Coastal Istrian Peninsula),"Opus quadratum (dressed stone blocks without mortar for the Mausoleum of Theodoric), fine brickwork for basilicas","Heavy ashlar wall masonry (opus quadratum), load-bearing piers, monolithic cupola roof dome (Mausoleum of Theodoric)",Good,,"Major Stone: Istrian Stone (Pietra d'Istria), Marble | Local Name: Pietra d'Istria | Secondary Stone: Proconnesian Marble, Greek Marbles, Porphyry | Lithology: Microcrystalline Limestone (Istrian Stone); Crystalline Marble; Igneous Porphyry | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
