Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Exploded Major Stone,Standardized Stone Name,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
1056,Mahabodhi Temple Complex at Bodh Gaya,India,"Classical style of Indian temple architecture (featuring a 50m curvilinear shikhara/tower, chaitya niches, stupas, and shrines); nan",Internal (DS/OUV),,3rd century B.C.,Internal (DS/OUV),,Mauryan Period & Late Gupta Period (Indian Buddhist),Internal (DS/OUV),,,Internal (DS/OUV),,Sandstone ,Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,Black stone,Internal (DS/OUV),,,,,"Sandstone, Black ston",Internal (DS/OUV),,,,,,,,Black (for footprint stone / Padas); NA for sandstone colour,Internal (DS/OUV),,Polished (for Vajrasana),Internal (DS/OUV),,,,,,,,,Internal (DS/OUV),,,,,,,,"Sandstone: Pillars of the balustrade, Vajrasana (Diamond Throne) platform.


Black Stone: Footprint slab (Padas).


(Bricks form the main body, walls, and tower)",Internal (DS/OUV),,"Sculpted human faces, animals, decorative honeysuckle and geese motifs, chaitya niches, carved Buddha footprints",Internal (DS/OUV),,Late Gupta period brick masonry; stone carving for balustrades and relics,Internal (DS/OUV),,,,,,,,Suffered long abandonment (13th–18th century A.D.); extensively restored in the 19th century A.D. and further conserved in the late 20th century under guidance of the Archaeological Survey of India (ASI),Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,"ICOMOS Advisory Body Evaluation;
 Bodhgaya Temple Management Committee (BTMC), Archaeological Survey of India (ASI)",,,Tier 9: Unflagged,
241,Group of Monuments at Hampi,India,"Dravidian Architecture (Temples, Gopurams, Mandapas) and Indo-Islamic Architecture (Secular buildings like Queen's Bath and Elephant Stables).; nan",Internal (DS/OUV),,"14th to 16th Century CE (Vijayanagara Empire, 1336–1565 CE; building activity spanning over 200 years).",Internal (DS/OUV),,Vijayanagara Empire (The last great Hindu Kingdom of South India).,Internal (DS/OUV),,,Internal (DS/OUV),,Granite,Granite,Granite,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Local Granite / Closepet Granite,,,,,,,,,,,,,,,,,,,,,India,Internal (DS/OUV),,"Local (""constructed from local granite"", ""utilizing locally available material"")",Internal (DS/OUV),,,Internal (DS/OUV),,"Fortification walls, temple complexes, pillared halls (Mandapas), shrines, entrance towers (Gopurams), ceremonial pavilions, heavy roof slabs, stone chariot (granite ratha), stepped tanks (Pushkarani), bridges, and water channels.",Internal (DS/OUV),,"Intricately carved stone chariot (Vittala Temple), ornate decorated pillars, relief sculptures, carved entrance gopurams, and sculpted lintels/capitals.",Internal (DS/OUV),,"Post-and-lintel system, lantern-roofed construction, dry-stone masonry with paper joints (rubble core for fortification walls), brick-and-lime mortar superstructures (for Gopuras), and heavy granite roof slabs sealed with lime mortar waterproofing.",Internal (DS/OUV),,,,,,,,"Ongoing conservation and preservation by the Archaeological Survey of India (ASI) and Department of Archaeology and Museums (DAM), guided by the Integrated Management Plan (IMP) and Hampi World Heritage Area Management Authority (HWHAMA).",Internal (DS/OUV),,Good,,,,Official ICOMOS Evaluation & UNESCO Dossier Documents,,,Tier 9: Unflagged,
736,Seokguram Grotto and Bulguksa Temple,Republic of Korea,Buddhist Religious Architectural Complex / Artificial Stone Grotto & Wooden Temple on Stone Terraces; nan,Internal (DS/OUV),,8th Century (Built circa 751–774 CE),Internal (DS/OUV),,Silla Kingdom (Silla Dynasty),Internal (DS/OUV),,,Internal (DS/OUV),,"Granite, White Granite",Granite,Granite,,,,Internal (DS/OUV),,,,,,,,,,,,,,,,,"Light gray to off-white (""White Granite"")",Internal (DS/OUV),,Equigranular to porphyritic masonry blocks and reliefs,Internal (DS/OUV),,,,,Mount Toham (Mount Tohamsan) quarries,Internal (DS/OUV),,Republic of Korea,Internal (DS/OUV),,Local (sourced directly from Mount Tohamsan),Internal (DS/OUV),,Short distance / Local site extraction (< 5 km),External,Inferred from Mount Toham location,"Artificial domed grotto, stone foundations, raised terraces, steps, and pagodas (Seokgatap and Dabotap)",Internal (DS/OUV),,"Monumental Buddha statue, high and low relief carvings (devas, bodhisattvas, disciples, guardians)",Internal (DS/OUV),,Dry-laid fine granite masonry; innovative dome construction using over 360 stone slabs and locking stones,Internal (DS/OUV),,"Moisture and condensation, mold/mildew/moss growth, acid rain, salty fogs, and atmospheric weathering",Internal (DS/OUV),,Concrete (used during 1913–1915 and 1960s restorations for protective outer domes),Internal (DS/OUV),,1913–1915 dismantle & concrete dome construction; 1960s dual concrete dome addition; wooden antechamber & glass barrier installation,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,Official UNESCO World Heritage Dossier #736; ICOMOS Advisory Body Evaluation Document,,,Tier 9: Unflagged,
736,Seokguram Grotto and Bulguksa Temple,Republic of Korea,Buddhist Religious Architectural Complex / Artificial Stone Grotto & Wooden Temple on Stone Terraces; nan,Internal (DS/OUV),,8th Century (Built circa 751–774 CE),Internal (DS/OUV),,Silla Kingdom (Silla Dynasty),Internal (DS/OUV),,,Internal (DS/OUV),,"Granite, White Granite",White Granite,Granite,,,,Internal (DS/OUV),,,,,,,,,,,,,,,,,"Light gray to off-white (""White Granite"")",Internal (DS/OUV),,Equigranular to porphyritic masonry blocks and reliefs,Internal (DS/OUV),,,,,Mount Toham (Mount Tohamsan) quarries,Internal (DS/OUV),,Republic of Korea,Internal (DS/OUV),,Local (sourced directly from Mount Tohamsan),Internal (DS/OUV),,Short distance / Local site extraction (< 5 km),External,Inferred from Mount Toham location,"Artificial domed grotto, stone foundations, raised terraces, steps, and pagodas (Seokgatap and Dabotap)",Internal (DS/OUV),,"Monumental Buddha statue, high and low relief carvings (devas, bodhisattvas, disciples, guardians)",Internal (DS/OUV),,Dry-laid fine granite masonry; innovative dome construction using over 360 stone slabs and locking stones,Internal (DS/OUV),,"Moisture and condensation, mold/mildew/moss growth, acid rain, salty fogs, and atmospheric weathering",Internal (DS/OUV),,Concrete (used during 1913–1915 and 1960s restorations for protective outer domes),Internal (DS/OUV),,1913–1915 dismantle & concrete dome construction; 1960s dual concrete dome addition; wooden antechamber & glass barrier installation,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,Official UNESCO World Heritage Dossier #736; ICOMOS Advisory Body Evaluation Document,,,Tier 9: Unflagged,
132,Megalithic Temples of Malta,Malta,Prehistoric monumental buildings / Megalithic temples; nan,Internal (DS/OUV),,4th millennium BC and 3rd millennium BC,Internal (DS/OUV),,indigenous Neolithic civilization,External,,,Internal (DS/OUV),,"Coralline limestone, Globigerina limestone",Coralline limestone,Limestone,,,Sedimentary Rock,,,,,,,,,"Hard coralline limestone, Soft globigerina limestone",,,,,,,,,,,,,,,,,,,,,,,,Locally available stone,Internal (DS/OUV),,,,,"External walls, sheltered interiors, orthostats (upright stone slabs), horizontal blocks, paved courts, corbelled roofs, horizontal beams",Internal (DS/OUV),,"Decorated features, panels decorated with drilled holes, bas-relief panels depicting spiral motifs, trees, plants, and animals",Internal (DS/OUV),,Megalithic masonry; upright stone slabs (orthostats) surmounted by horizontal blocks; corbelled roofing; external walls constructed in larger blocks set alternately face out and edge out with space between inner/outer walls filled with stones and earth,Internal (DS/OUV),,"Material and structural deterioration, erosion by natural and human causes, weathering",Internal (DS/OUV),,Cement (used for capping surviving blocks during historic restoration),Internal (DS/OUV),,"Moving decorated blocks indoors; capping surviving blocks with cement; lightweight, removable protective shelters/covers implemented",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
132,Megalithic Temples of Malta,Malta,Prehistoric monumental buildings / Megalithic temples; nan,Internal (DS/OUV),,4th millennium BC and 3rd millennium BC,Internal (DS/OUV),,indigenous Neolithic civilization,External,,,Internal (DS/OUV),,"Coralline limestone, Globigerina limestone",Globigerina limestone,Limestone,,,Sedimentary Rock,,,,,,,,,"Hard coralline limestone, Soft globigerina limestone",,,,,,,,,,,,,,,,,,,,,,,,Locally available stone,Internal (DS/OUV),,,,,"External walls, sheltered interiors, orthostats (upright stone slabs), horizontal blocks, paved courts, corbelled roofs, horizontal beams",Internal (DS/OUV),,"Decorated features, panels decorated with drilled holes, bas-relief panels depicting spiral motifs, trees, plants, and animals",Internal (DS/OUV),,Megalithic masonry; upright stone slabs (orthostats) surmounted by horizontal blocks; corbelled roofing; external walls constructed in larger blocks set alternately face out and edge out with space between inner/outer walls filled with stones and earth,Internal (DS/OUV),,"Material and structural deterioration, erosion by natural and human causes, weathering",Internal (DS/OUV),,Cement (used for capping surviving blocks during historic restoration),Internal (DS/OUV),,"Moving decorated blocks indoors; capping surviving blocks with cement; lightweight, removable protective shelters/covers implemented",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),"Civic-ceremonial centre, Temples, Pyramids, Monoliths, Palaces, Urban ceremonial capital; nan",Internal (DS/OUV),,400 A.D. – 900 A.D. (flourished); apogee between 500 A.D. and 900 A.D.; declined 11th century to 12th century,Internal (DS/OUV),,Tiwanaku Culture / Pre-Inca Andean civilization,Internal (DS/OUV),,,Internal (DS/OUV),,"Sandstone, Red Sandstone, Andesite, Adobe (mud brick)",Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,Red (for Red Sandstone),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Retaining walls (Akapana Pyramid clad in sandstone/andesite), pillars (Templete made of red sandstone), door frames/gateways (Gate of the Sun), steps, underground drainage canals",Internal (DS/OUV),,"Bas-relief frieze (Gate of the Sun depicting central deity and anthropomorphic birds), carved stone heads set into temple walls, carved monoliths",Internal (DS/OUV),,Impressive accurately carved ashlar stones; carved from single slabs (monolithic); polished stone materials,Internal (DS/OUV),,Adverse effect of climatic conditions,Internal (DS/OUV),,,,,"Systematic conservation, restoration, and physical stabilization measures required under the main plan (1999–2009)",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),"Civic-ceremonial centre, Temples, Pyramids, Monoliths, Palaces, Urban ceremonial capital; nan",Internal (DS/OUV),,400 A.D. – 900 A.D. (flourished); apogee between 500 A.D. and 900 A.D.; declined 11th century to 12th century,Internal (DS/OUV),,Tiwanaku Culture / Pre-Inca Andean civilization,Internal (DS/OUV),,,Internal (DS/OUV),,"Sandstone, Red Sandstone, Andesite, Adobe (mud brick)",Red Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,Red (for Red Sandstone),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Retaining walls (Akapana Pyramid clad in sandstone/andesite), pillars (Templete made of red sandstone), door frames/gateways (Gate of the Sun), steps, underground drainage canals",Internal (DS/OUV),,"Bas-relief frieze (Gate of the Sun depicting central deity and anthropomorphic birds), carved stone heads set into temple walls, carved monoliths",Internal (DS/OUV),,Impressive accurately carved ashlar stones; carved from single slabs (monolithic); polished stone materials,Internal (DS/OUV),,Adverse effect of climatic conditions,Internal (DS/OUV),,,,,"Systematic conservation, restoration, and physical stabilization measures required under the main plan (1999–2009)",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),"Civic-ceremonial centre, Temples, Pyramids, Monoliths, Palaces, Urban ceremonial capital; nan",Internal (DS/OUV),,400 A.D. – 900 A.D. (flourished); apogee between 500 A.D. and 900 A.D.; declined 11th century to 12th century,Internal (DS/OUV),,Tiwanaku Culture / Pre-Inca Andean civilization,Internal (DS/OUV),,,Internal (DS/OUV),,"Sandstone, Red Sandstone, Andesite, Adobe (mud brick)",Andesite,Andesite,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,Red (for Red Sandstone),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Retaining walls (Akapana Pyramid clad in sandstone/andesite), pillars (Templete made of red sandstone), door frames/gateways (Gate of the Sun), steps, underground drainage canals",Internal (DS/OUV),,"Bas-relief frieze (Gate of the Sun depicting central deity and anthropomorphic birds), carved stone heads set into temple walls, carved monoliths",Internal (DS/OUV),,Impressive accurately carved ashlar stones; carved from single slabs (monolithic); polished stone materials,Internal (DS/OUV),,Adverse effect of climatic conditions,Internal (DS/OUV),,,,,"Systematic conservation, restoration, and physical stabilization measures required under the main plan (1999–2009)",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
392,Temple of Apollo Epicurius at Bassae,Greece,Columned Temple / Sanctuary; nan,Internal (DS/OUV),,Second half of the 5th century BC (420–400 BC),Internal (DS/OUV),,Ancient Greek / Classical Greek Civilization,Internal (DS/OUV),,,Internal (DS/OUV),,Limestone,Limestone,Limestone,Internal (DS/OUV),,Sedimentary Rock,,,,,,Local limestone,Internal (DS/OUV),,,,,,,,,,,Grey (Arcadian mountain limestone),Internal (DS/OUV),,,,,,,,Local quarries (surrounding Arkadian mountains),Internal (DS/OUV),,Greece,Internal (DS/OUV),,Local,Internal (DS/OUV),,,,,"Colonnade (Doric outer columns), Cella, Adyton, Columns (Ionic and Corinthian)",Internal (DS/OUV),,"Sculptured frieze, Corinthian capital",Internal (DS/OUV),,Classical Greek dry masonry (Archaic/Doric blend),Internal (DS/OUV),,"Deterioration from extreme weather, temperature variations, strong wind, water, and seismic activity",Internal (DS/OUV),,Local limestone (matching the original material used in the monument),Internal (DS/OUV),,"Systemic restoration ongoing since 2001; installation of a protective shelter, anti-seismic netting, and drainage system",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
