unesco_id,site_name,category,region,country,latitude,longitude,brief_description,ouv_statement,criteria,confidence_v2,score_v2,stone_count_v2,stone_types_found_v2,stone_geological_class_v2,named_trade_stones_v2,decorative_minerals_v2,construction_terms_v2,architectural_elements_v2,matched_title_terms_v2,matched_categories_v2,unesco_url
1633,The Slate Landscape of Northwest Wales,Cultural,Europe and North America,United Kingdom of Great Britain and Northern Ireland,,,"The Slate Landscape of Northwest Wales illustrates the transformation that industrial slate quarrying and mining brought about in the traditional rural environment of the mountains and valleys of the Snowdon massif. The territory, extending from mountain-top to sea-coast, presented opportunities and constraints that were used and challenged by the large-scale industrial processes undertaken by landowners and capital investors, which reshaped the agricultural landscape into an industrial centre for slate production during the Industrial Revolution (1780-1914). The serial property comprises six components each encompassing relict quarries and mines, archaeological sites related to slate industrial processing, historical settlements, both living and relict, historic gardens and grand country houses, ports, harbours and quays, and railway and road systems illustrating the functional and social linkages of the relict slate industrial landscape. The property was internationally significant not only for the export of slates, but also for the export of technology and skilled workers from the 1780s to the early 20th century. It played a leading role in the field and constituted a model for other slate quarries in different parts of the world. It offers an important and remarkable example of interchange of materials, technology and human values.",,(ii)(iv),HIGH,15,1,slate,Metamorphic,,,capital; quarry,capital,slate,Criterion_iv; Criterion_ii; Title_Stone_Keyword; OUV_Stone; OUV_Construction,https://whc.unesco.org/en/list/1633
370,Durham Castle and Cathedral,Cultural,Europe and North America,United Kingdom of Great Britain and Northern Ireland,,,"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham.",,(ii)(iv)(vi),HIGH,15,0,,,,,,castle; cathedral; fortress,castle; cathedral,Criterion_iv; Criterion_ii; Title_Stone_Keyword; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/370
1625,Cordouan Lighthouse,Cultural,Europe and North America,France,,,"The Lighthouse of Cordouan rises up on a shallow rocky plateau in the Atlantic Ocean at the mouth of the Gironde estuary in the Nouvelle-Aquitaine region, in a highly exposed and hostile environment. Built in white limestone dressed blocks at the turn of the 16th and 17th centuries, it was designed by engineer Louis de Foix and remodelled by engineer Joseph Teulère in the late 18th century. A masterpiece of maritime signalling, Cordouan’s monumental tower is decorated with pilasters, columns modillions and gargoyles. It embodies the great stages of the architectural and technological history of lighthouses and was built with the ambition of continuing the tradition of famous beacons of antiquity, illustrating the art of building lighthouses in a period of renewed navigation, when beacons played an important role as territorial markers and as instruments of safety. Finally, the increase of its height, in the late 18th century, and the changes to its light chamber, attest to the progress of science and technology of the period. Its architectural forms drew inspiration from ancient models, Renaissance Mannerism and the specific architectural language of France’s engineering school École des Ponts et Chaussées.",,(i)(iv),HIGH,15,1,limestone,Sedimentary,,,gargoyle; pilaster,column; gargoyle; tower,,Criterion_iv; Criterion_i; OUV_Stone; OUV_Construction; OUV_ArchElements,https://whc.unesco.org/en/list/1625
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Cultural,Asia and the Pacific,Micronesia (Federated States of),,,"Nan Madol is a series of more than 100 islets off the south-east coast of Pohnpei that were constructed with walls of basalt and coral boulders. These islets harbour the remains of stone palaces, temples, tombs and residential domains built between 1200 and 1500 CE. These ruins represent the ceremonial centre of the Saudeleur dynasty, a vibrant period in Pacific Island culture. The huge scale of the edifices, their technical sophistication and the concentration of megalithic structures bear testimony to complex social and religious practices of the island societies of the period. The site was also inscribed on the List of World Heritage in Danger due to threats, notably the siltation of waterways that is contributing to the unchecked growth of mangroves and undermining existing edifices.",,(i)(iii)(iv)(vi),HIGH,14,1,basalt,Igneous,,coral,megalithic,palace; temple; tomb; wall,,Criterion_iv; Criterion_i; OUV_Stone; Decorative_Mineral; OUV_ArchElements,https://whc.unesco.org/en/list/1503
1135,Capital Cities and Tombs of the Ancient Koguryo Kingdom,Cultural,Asia and the Pacific,China,,,"The site includes archaeological remains of three cities and 40 tombs: Wunu Mountain City, Guonei City and Wandu Mountain City, 14 tombs are imperial, 26 of nobles. All belong to the Koguryo culture, named after the dynasty that ruled over parts of northern China and the northern half of the Korean Peninsula from 277 BC to AD 668. Wunu Mountain City is only partly excavated. Guonei City, within the modern city of Ji’an, played the role of a ‘supporting capital’ after the main Koguryo capital moved to Pyongyang. Wandu Mountain City, one of the capitals of the Koguryo Kingdom, contains many vestiges including a large palace and 37 tombs. Some of the tombs show great ingenuity in their elaborate ceilings, designed to roof wide spaces without columns and carry the heavy load of a stone or earth tumulus (mound), which was placed above them.","Criterion (i): The tombs represent a masterpiece of the human creative genius in their wall paintings and structures.
Criterion (ii): The Capital Cities of the Koguryo Kingdom are an early example of mountain cities, later imitated by neighbouring cultures. The tombs, particularly the important stele and a long inscription in one of the tombs, show the impact of Chinese culture on the Koguryo (who did not develop their own writing). The paintings in the tombs, while showing artistic skills and specific style, are also an example for strong impact from other cultures.
Criterion (iii): The Capital Cities and Tombs of the Ancient Koguryo Kingdom represent exceptional testimony to the vanished Koguryo civilization.
Criterion (iv): The system of capital cities represented by Guonei City and Wandu Mountain City also influenced the construction of later capitals built by the Koguryo regime; the Koguryo tombs provide outstanding examples of the evolution of piled-stone and earthen tomb construction.
Criterion (v): The capital cities of the Koguryo Kingdom represent a perfect blending of human creation and nature whether with the rocks or with forests and rivers.",(i)(ii)(iii)(iv)(v),HIGH,14,0,,,,,capital; stele,capital; ceiling; column; palace; roof; tomb; wall,,Criterion_iv; Criterion_i; Criterion_ii; OUV_Construction; OUV_ArchElements; OUV_ArchElements_6+,https://whc.unesco.org/en/list/1135
537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Cultural,Europe and North America,Greece,,,"Although geographically distant from each other, these three monasteries (the first is in Attica, near Athens, the second in Phocida near Delphi, and the third on an island in the Aegean Sea, near Asia Minor) belong to the same typological series and share the same aesthetic characteristics. The churches are built on a cross-in-square plan with a large dome supported by squinches defining an octagonal space. In the 11th and 12th centuries they were decorated with superb marble works as well as mosaics on a gold background, all characteristic of the 'second golden age of Byzantine art'.",,(i)(iv),HIGH,14,1,marble,Metamorphic,,,,church; dome; monastery; squinch,,Criterion_iv; Criterion_i; OUV_Stone; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/537
1463,Aqueduct of Padre Tembleque Hydraulic System,Cultural,Latin America and the Caribbean,Mexico,,,"This 16th century aqueduct is located between the states of Mexico and Hidalgo, on the Central Mexican Plateau. This heritage canal system encompasses a water catchment area, springs, canals, distribution tanks and arcaded aqueduct bridges. The site incorporates the highest single-level arcade ever built in an aqueduct. Initiated by the Franciscan friar, Padre Tembleque, and built with support from the local indigenous communities, this hydraulic system is an example of the exchange of influences between the European tradition of Roman hydraulics and traditional Mesoamerican construction techniques, including the use of adobe.",,(i)(ii)(iv),HIGH,14,1,adobe,Sedimentary,,,,aqueduct; bridge,aqueduct,Criterion_iv; Criterion_i; Criterion_ii; Title_Stone_Keyword; OUV_Stone,https://whc.unesco.org/en/list/1463
3,Aachen Cathedral,Cultural,Europe and North America,Germany,,,"Construction of this palatine chapel, with its octagonal basilica and cupola, began c. 790–800 under the Emperor Charlemagne. Originally inspired by the churches of the Eastern part of the Holy Roman Empire, it was splendidly enlarged in the Middle Ages.",,(i)(ii)(iv)(vi),HIGH,13,0,,,,,,basilica; cathedral; church; cupola,cathedral,Criterion_iv; Criterion_i; Criterion_ii; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/3
202,Ancient City of Sigiriya,Cultural,Asia and the Pacific,Sri Lanka,,,"The ruins of the capital built by the parricidal King Kassapa I (477&ndash;95) lie on the steep slopes and at the summit of a granite peak standing some 180m high (the 'Lion's Rock', which dominates the jungle from all sides). A series of galleries and staircases emerging from the mouth of a gigantic lion constructed of bricks and plaster provide access to the site.",,(ii)(iii)(iv),HIGH,13,1,granite,Igneous,,,capital,capital; gallery; staircase,,Criterion_iv; Criterion_ii; OUV_Stone; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/202
963,The Cathedral of St James in Šibenik,Cultural,Europe and North America,Croatia,,,"The Cathedral of St James in Šibenik (1431-1535), on the Dalmatian coast, bears witness to the considerable exchanges in the field of monumental arts between Northern Italy, Dalmatia and Tuscany in the 15th and 16th centuries. The three architects who succeeded one another in the construction of the Cathedral - Francesco di Giacomo, Georgius Mathei Dalmaticus and Niccolò di Giovanni Fiorentino - developed a structure built entirely from stone and using unique construction techniques for the vaulting and the dome of the Cathedral. The form and the decorative elements of the Cathedral, such as a remarkable frieze decorated with 71 sculptured faces of men, women, and children, also illustrate the successful fusion of Gothic and Renaissance art.","Criterion (i): The structural characteristics of the Cathedral of St James in Šibenik make it a unique and outstanding building in which Gothic and Renaissance forms have been successfully blended. Criterion ii The Cathedral of St James is the fruitful outcome of considerable interchanges of influences between the three culturally different regions of Northern Italy, Dalmatia, and Tuscany in the 15th and 16th centuries. These interchanges created the conditions for unique and outstanding solutions to the technical and structural problems of constructing the cathedral vaulting and dome. Criterion iv The Cathedral of St James in Šibenik is a unique testimony to the transition from the Gothic to the Renaissance period in church architecture.",(i)(ii)(iv),HIGH,13,0,,,,,frieze,cathedral; church; dome; frieze,cathedral,Criterion_iv; Criterion_i; Criterion_ii; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/963
