unesco_id,site_name,stone_mention
1633,The Slate Landscape of Northwest Wales,Slate
1625,Cordouan Lighthouse,Limestone
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Basalt
537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Marble
1463,Aqueduct of Padre Tembleque Hydraulic System,Adobe
202,Ancient City of Sigiriya,Granite
1590,Sanctuary of Bom Jesus do Monte in Braga,Granite
985,Maloti-Drakensberg Park,Basaltic
985,Maloti-Drakensberg Park,Sandstone
985,Maloti-Drakensberg Park,Golden Sandstone
1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",Granite
1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",Dolerite
1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",Sandstone
1720,The Historic Town and Archaeological Site of Gedi,Rag
1720,The Historic Town and Archaeological Site of Gedi,Coral Rag
1055,Lamu Old Town,Coral Stone
1343,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",Adobe
1370,Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Chalk
1519,Aphrodisias,Marble
1565,Hebron/Al-Khalil Old Town,Limestone
1597,Writing-on-Stone / Áísínai’pi,Sandstone
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Sandstone
455,Meteora,Sandstone
1376,Historic Bridgetown and its Garrison,Serpentine
389,Studenica Monastery,White Marble
389,Studenica Monastery,Marble
233,"Qutb Minar and its Monuments, Delhi",Sandstone
233,"Qutb Minar and its Monuments, Delhi",Red Sandstone
1426,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",Limestone
540,Historic Centre of Saint Petersburg and Related Groups of Monuments,Marble
1386,Rock Islands Southern Lagoon,Limestone
171,Fort and Shalamar Gardens in Lahore,Marble
231,Red Fort Complex,Sandstone
231,Red Fort Complex,Red Sandstone
1484,"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Coal
1226,Stone Circles of Senegambia,Laterite
1026,Val d'Orcia,Chalk
499,Kairouan,Porphyry
499,Kairouan,Marble
1006,Neolithic Flint Mines at Spiennes (Mons),Flint
304,Canadian Rocky Mountain Parks,Jasper
304,Canadian Rocky Mountain Parks,Shale
304,Canadian Rocky Mountain Parks,Limestone
1161,Pitons Management Area,Lava
1161,Pitons Management Area,Pumice
1161,Pitons Management Area,Andesitic
1270,Historic Centre of Camagüey,Serpentine
1698,Sado Island Gold Mines,Volcanic Rock
243,Ellora Caves,Basalt
1310,"Cidade Velha, Historic Centre of Ribeira Grande",Marble
925,Rock Shelters of Bhimbetka,Sandstone
1610,Ombilin Coal Mining Heritage of Sawahlunto,Coal
476,Chongoni Rock-Art Area,Granite
1360,Nord-Pas de Calais Mining Basin,Coal
1500,Gorham's Cave Complex,Limestone
150,Mammoth Cave National Park,Limestone
1344,Major Mining Sites of Wallonia,Coal
579,Bronze Age Burial Site of Sammallahdenmäki,Granite
251,Agra Fort,Sandstone
251,Agra Fort,Red Sandstone
1599,Krzemionki Prehistoric Striped Flint Mining Region,Flint
492,Taos Pueblo,Adobe
1264,Jeju Volcanic Island and Lava Tubes,Lava
1264,Jeju Volcanic Island and Lava Tubes,Tuff
