Site ID,Site Name,Country,UNESCO Mention,Mentioned Major Stone(s),Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
3,Aachen Cathedral,Germany,Yes,Marble,Palatine Chapel / Cathedral (Carolingian octagonal core with Gothic choir and additions); nan,Internal (DS/OUV),,Began c. 790–800 (c. 793–813; consecrated 805),Internal (DS/OUV),,Carolingian (Frankish) Empire / Holy Roman Empire,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Metamorphic Rock,,,"Local quarry stone (Sandstone/Limestone), Granite (1840s replacement columns)",,,Aachen Bluestone / Aachener Blaustein (fossiliferous limestone),,,"Fossiliferous Limestone, Marble, Sandstone",,,Na,,,,,,Greek and Italian marble tones,Internal (DS/OUV),,,,,,,,"Local quarries (Aachen area); Ancient spolia sourced from Rome, Ravenna, and Cologne (St. Gereon)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Germany, Italy, Greece",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Local (immediate vicinity) to Long-distance (>1,000 km from Rome and Ravenna)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,,,,"Eight main octagonal piers, vaulted arcades, load-bearing exterior walls, octagonal drum, and dome cupola",Internal (DS/OUV),,"Antique interior marble columns/facade lining, Carolingian stone throne, Proserpine relief sarcophagus",Internal (DS/OUV),,,,,,,,,,,,,,Good,,,"ICOMOS Advisory Body Evaluation, Wikipedia: Aachen Cathedral Entry, and Wikimedia Commons Stone Archives",,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,Yes,"Obsidian, Tuff, Volcanic Rock, Volcanic Tuff","Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
17,Lower Valley of the Omo,Ethiopia,Yes,sedimentary deposits,Sedimentary deposits mentioned,Internal (DS/OUV),,,Internal (DS/OUV),,,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,,,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mesa Verde National Park,United States of America,Yes,Sandstone,"Cliff dwellings, mesa-top villages, pit-house settlements, masonry-walled villages; nan",Internal (DS/OUV),,6th to the 12th century (c. 450 to 1300),Internal (DS/OUV),,Ancestral Pueblo Indian / Native American,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (alcove/mesa plateau setting),Internal (DS/OUV),,,,,"Built of sandstone and mud mortar (multi-storey cliff dwellings, rooms, towers, balconies, walls)",Internal (DS/OUV),,Rock art,Internal (DS/OUV),,"Sandstone and mud mortar masonry, masonry-walled structures",Internal (DS/OUV),,Erosion following wildland fires,Internal (DS/OUV),,,Internal (DS/OUV),,"Stabilized, routine monitoring, condition assessment, and preservation treatment",Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
32,Wieliczka and Bochnia Royal Salt Mines,Poland,Yes,Rock Salt,"Monument, Plan, Structure; nan",Internal (DS/OUV),,13th century to 20th century,Internal (DS/OUV),,Medieval to Modern Polish / European Industrial,Internal (DS/OUV),,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,Halite (Rock Salt),Internal (DS/OUV),,In-situ underground deposit (Wieliczka and Bochnia deposit),Internal (DS/OUV),,Poland,Internal (DS/OUV),,Local (Extracted directly on site),Internal (DS/OUV),,,,,"Underground galleries, shafts, chapels, workshops, storehouses, Saltworks Castle",Internal (DS/OUV),,"Altars, statues, and decorative elements sculpted directly into rock salt",Internal (DS/OUV),,Rock-cut subterranean excavation and salt sculpting,Internal (DS/OUV),,,,,,,,Long-term programme of stabilization of abandoned galleries and targeted gallery conservation,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
80,Mont-Saint-Michel and its Bay,France,Yes,Granite,"Gothic, Romanesque, Flamboyant Gothic (choir), Pre-Romanesque; nan",Internal (DS/OUV),,10th to 16th centuries (founding of sanctuary in 708; Benedictine abbey in 966; Romanesque/Gothic additions 11th–16th c.),Internal (DS/OUV),,Medieval Christian Civilization / French Benedictine,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Flat bricks (used with granite masonry in Notre-Dame-sous-terre),Internal (DS/OUV),,,,,Granitic rock summit / islet base; granite masonry,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,France,Internal (DS/OUV),,Local (rock summit / surrounding rocky islet),Internal (DS/OUV),,,,,"Foundation/crossing supported by rock summit; high load-bearing walls, ribbed vaults, double nave",Internal (DS/OUV),,Cloister with colonnettes grouped in five; airy pinnacles,Internal (DS/OUV),,Granite masonry paired with flat bricks,Internal (DS/OUV),,Siltation/silting up of the bay; vulnerability of surrounding rocks to natural phenomena/coastal dynamics,Internal (DS/OUV),,,,,Restoration of Romanesque choir (1448); 19th-century dignity restorations; Spire construction (1897); Periodic rock consolidation works,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,Yes,Limestone,"Rock tombs, ornate mastabas, temples, pyramids, palaces, craftsmen’s workshops, dockyards, arsenals, residential neighbourhoods; nan",Internal (DS/OUV),,"3000 BC (Old Kingdom through Middle, New, Late, and Ptolemaic Periods)",Internal (DS/OUV),,Ancient Egyptian / Pharaonic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,Internal (DS/OUV),,,,,,,,"Monumental stone building, pyramids (e.g., Step Pyramid of Djoser, Great Pyramid of Khufu), step pyramids, temples, tombs",Internal (DS/OUV),,,,,"Rock-cut tombs, mastaba, pyramid constructions",Internal (DS/OUV),,"Damage from natural forces through time, causing surface detail vulnerabilities",Internal (DS/OUV),,,,,Principles of restoration applied respecting legibility and reversibility (Ministry of Antiquities projects),Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
88,Nubian Monuments from Abu Simbel to Philae,Egypt,Yes,Granite ,"Temples, Tombs, Sanctuary, Kiosk, Monastery, Gate, Ruins; nan",Internal (DS/OUV),,"Old Kingdom, Middle Kingdom, New Kingdom (15th century BCE) to Ptolemaic and Roman periods (2nd century CE)",Internal (DS/OUV),,Ancient Egyptian / Nubian / Greco-Roman / Coptic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Granite (Mentioned under Criterion iii & Protection requirements),Internal (DS/OUV),,,,,,,,,,,,,,,,,Stone quarries of Aswan / Granite quarries of the Cataract area,Internal (DS/OUV),,Egypt,Internal (DS/OUV),,Local (Exploited within the Aswan region),Internal (DS/OUV),,,,,"Temples carved out of solid rock escarpment (rock-cut architecture), obelisks, colossi, sanctuary walls",Internal (DS/OUV),,"Richly decorated tombs, relief sculptures/scenes",Internal (DS/OUV),,Ancient Egyptian quarrying and rock-cut techniques (disassembled and reconstructed during relocation),Internal (DS/OUV),,"Affected by wind, temperature change, rains, humidity, bird droppings, and dust",Internal (DS/OUV),,,,,"International UNESCO Campaign (1960–1980): Monuments were disassembled, moved, and reconstructed to save them from Nile flooding",Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
90,Abu Mena,Egypt,Yes,"Limestone, Marble","Monastery, Pilgrimage Centre, Ecclesiastical Complex (Churches, Baptistery, Basilicas, Hostels/Rest Houses, Public Baths, Workshops); nan",Internal (DS/OUV),,4th to 7th centuries AD (A.D. 296 – 7th Century AD),Internal (DS/OUV),,Early Christian / Coptic,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashlar masonry for main buildings / wall construction,Internal (DS/OUV),,"Columns (made of Marble), Mosaics, fine lime plaster",Internal (DS/OUV),,Ashlar masonry set in lime mortar; Mud bricks covered with fine lime plaster for simpler buildings,Internal (DS/OUV),,"Risks from heavy rains, winds, humidity, fires, and rising underground water related to agricultural irrigation",Internal (DS/OUV),,,,,Ongoing periodic maintenance and active dewatering project to lower underground water table,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,,,,Tier 9: Unflagged,
116,Old Towns of Djenné,Mali,Yes,earth/mud brick,Traditional Earthen / Islamic Sub-Saharan (Sudano-Sahelian style featuring verticality and buttresses); nan,Internal (DS/OUV),,"Inhabited since 250 B.C.; current architectural fabric dates from 15th–16th centuries (with Moroccan influences in 1591, Toucouleur in 1862, and Mosque reconstruction in 1906–1907)",Internal (DS/OUV),,Pre-Islamic / Islamic West African (Trans-Saharan trade period),Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,,,,Millstone; Scoria,,,,,,"Silt, clay, and alluvial sand (for sun-dried mud bricks / djénné ferey)",Internal (DS/OUV),,,,,,,,,,,"Fine-grained, argillaceous (mud/earth composition)",Internal (DS/OUV),,,,,Local floodplains (toguere) and marshes along the Bani/Niger Rivers,Internal (DS/OUV),,,Internal (DS/OUV),,Local,Internal (DS/OUV),,Very Short (< 5 km from surrounding floodplains),Internal (DS/OUV),,"Load-bearing mud brick walls, monumental pilasters, and vertical buttresses",Internal (DS/OUV),,"Façade relief motifs (potige), ancestral entrance archways, decorative pilasters",Internal (DS/OUV),,Djenné Ferey (traditional cylindrical or rectangular sun-dried mud bricks laid with earthen mortar and plaster),Internal (DS/OUV),,"Leaching, rainwater erosion, gullying from severe seasonal rains and floods",Internal (DS/OUV),,"Earthen plaster re-application (Crépissage), cement/fired bricks (noted as an aesthetic threat/modification)",Internal (DS/OUV),,Annual community plastering ritual (Crépissage de la Grande Mosquée); traditional masonry maintenance by the Barey Guild,Internal (DS/OUV),,Poor,Internal (DS/OUV),,,,,Tier 9: Unflagged,
